🦵🏻	cic, cos, cos: ton cnis geal, géag, ton cnis geal
🤦🏿‍♀	aghaidh i mbos, baineann, bean, bean lena haghaidh i mbos, bean lena haghaidh ina bos, bean lena haghaidh ina bos: ton cnis dorcha, díchreideamh, mearú, ton cnis dorcha
🤷🏻	croith, croitheadh, duine ag croitheadh, duine ag croitheadh: ton cnis geal, guaillí, níl a fhios agam, ton cnis geal
🤷🏼	croith, croitheadh, duine ag croitheadh, duine ag croitheadh: ton cnis meánach-gheal, guaillí, níl a fhios agam, ton cnis meánach-gheal
🤷🏽	croith, croitheadh, duine ag croitheadh, duine ag croitheadh: ton cnis meánach, guaillí, níl a fhios agam, ton cnis meánach
🤷🏾	croith, croitheadh, duine ag croitheadh, duine ag croitheadh: ton cnis meánach-dhorcha, guaillí, níl a fhios agam, ton cnis meánach-dhorcha
🤷🏿	croith, croitheadh, duine ag croitheadh, duine ag croitheadh: ton cnis dorcha, guaillí, níl a fhios agam, ton cnis dorcha
🤷🏻‍♂	aineolas, amhras, croitheach guaillí, fear, fear ag croitheadh, fear ag croitheadh: ton cnis geal, fear atá ag croitheadh a ghuaillí, is cuma, ton cnis geal
🤷🏼‍♂	aineolas, amhras, croitheach guaillí, fear, fear ag croitheadh, fear ag croitheadh: ton cnis meánach-gheal, fear atá ag croitheadh a ghuaillí, is cuma, ton cnis meánach-gheal
🤷🏽‍♂	aineolas, amhras, croitheach guaillí, fear, fear ag croitheadh, fear ag croitheadh: ton cnis meánach, fear atá ag croitheadh a ghuaillí, is cuma, ton cnis meánach
🤷🏾‍♂	aineolas, amhras, croitheach guaillí, fear, fear ag croitheadh, fear ag croitheadh: ton cnis meánach-dhorcha, fear atá ag croitheadh a ghuaillí, is cuma, ton cnis meánach-dhorcha
🤷🏿‍♂	aineolas, amhras, croitheach guaillí, fear, fear ag croitheadh, fear ag croitheadh: ton cnis dorcha, fear atá ag croitheadh a ghuaillí, is cuma, ton cnis dorcha
🤷🏻‍♀	aiseolas, amhras, bean, bean ag coitheadh a guaillí, bean ag croitheadh, bean ag croitheadh: ton cnis geal, croitheadh guaillí, is cuma, ton cnis geal
🤷🏼‍♀	aiseolas, amhras, bean, bean ag coitheadh a guaillí, bean ag croitheadh, bean ag croitheadh: ton cnis meánach-gheal, croitheadh guaillí, is cuma, ton cnis meánach-gheal
🤷🏽‍♀	aiseolas, amhras, bean, bean ag coitheadh a guaillí, bean ag croitheadh, bean ag croitheadh: ton cnis meánach, croitheadh guaillí, is cuma, ton cnis meánach
🤷🏾‍♀	aiseolas, amhras, bean, bean ag coitheadh a guaillí, bean ag croitheadh, bean ag croitheadh: ton cnis meánach-dhorcha, croitheadh guaillí, is cuma, ton cnis meánach-dhorcha
🤷🏿‍♀	aiseolas, amhras, bean, bean ag coitheadh a guaillí, bean ag croitheadh, bean ag croitheadh: ton cnis dorcha, croitheadh guaillí, is cuma, ton cnis dorcha
💆🏻	duine ag fáil suathaireachta, duine ag fáil suathaireachta: ton cnis geal, suathaireacht, suathaireacht aghaidhe, ton cnis geal
💆🏼	duine ag fáil suathaireachta, duine ag fáil suathaireachta: ton cnis meánach-gheal, suathaireacht, suathaireacht aghaidhe, ton cnis meánach-gheal
💆🏽	duine ag fáil suathaireachta, duine ag fáil suathaireachta: ton cnis meánach, suathaireacht, suathaireacht aghaidhe, ton cnis meánach
💆🏾	duine ag fáil suathaireachta, duine ag fáil suathaireachta: ton cnis meánach-dhorcha, suathaireacht, suathaireacht aghaidhe, ton cnis meánach-dhorcha
💆🏿	duine ag fáil suathaireachta, duine ag fáil suathaireachta: ton cnis dorcha, suathaireacht, suathaireacht aghaidhe, ton cnis dorcha
💆🏻‍♂	aghaidh, fear, fear ag fáil suathaireacht ina aghaidh, fear ag fáil suathaireachta, fear ag fáil suathaireachta: ton cnis geal, fearann, suathaireacht, ton cnis geal
💆🏼‍♂	aghaidh, fear, fear ag fáil suathaireacht ina aghaidh, fear ag fáil suathaireachta, fear ag fáil suathaireachta: ton cnis meánach-gheal, fearann, suathaireacht, ton cnis meánach-gheal
💆🏽‍♂	aghaidh, fear, fear ag fáil suathaireacht ina aghaidh, fear ag fáil suathaireachta, fear ag fáil suathaireachta: ton cnis meánach, fearann, suathaireacht, ton cnis meánach
💆🏾‍♂	aghaidh, fear, fear ag fáil suathaireacht ina aghaidh, fear ag fáil suathaireachta, fear ag fáil suathaireachta: ton cnis meánach-dhorcha, fearann, suathaireacht, ton cnis meánach-dhorcha
💆🏿‍♂	aghaidh, fear, fear ag fáil suathaireacht ina aghaidh, fear ag fáil suathaireachta, fear ag fáil suathaireachta: ton cnis dorcha, fearann, suathaireacht, ton cnis dorcha
💆🏻‍♀	aghaidh, baineann, bean, bean ag fáil suathaireacht ina haghaidh, bean ag fáil suathaireachta, bean ag fáil suathaireachta: ton cnis geal, suathaireacht, ton cnis geal
💆🏼‍♀	aghaidh, baineann, bean, bean ag fáil suathaireacht ina haghaidh, bean ag fáil suathaireachta, bean ag fáil suathaireachta: ton cnis meánach-gheal, suathaireacht, ton cnis meánach-gheal
💆🏽‍♀	aghaidh, baineann, bean, bean ag fáil suathaireacht ina haghaidh, bean ag fáil suathaireachta, bean ag fáil suathaireachta: ton cnis meánach, suathaireacht, ton cnis meánach
💆🏾‍♀	aghaidh, baineann, bean, bean ag fáil suathaireacht ina haghaidh, bean ag fáil suathaireachta, bean ag fáil suathaireachta: ton cnis meánach-dhorcha, suathaireacht, ton cnis meánach-dhorcha
💆🏿‍♀	aghaidh, baineann, bean, bean ag fáil suathaireacht ina haghaidh, bean ag fáil suathaireachta, bean ag fáil suathaireachta: ton cnis dorcha, suathaireacht, ton cnis dorcha
💇🏻	bearradh gruaige, duine ag fáil bearradh gruaige, duine ag fáil bearradh gruaige: ton cnis geal, gruagaire, gruaig, ton cnis geal
💇🏼	bearradh gruaige, duine ag fáil bearradh gruaige, duine ag fáil bearradh gruaige: ton cnis meánach-gheal, gruagaire, gruaig, ton cnis meánach-gheal
💇🏽	bearradh gruaige, duine ag fáil bearradh gruaige, duine ag fáil bearradh gruaige: ton cnis meánach, gruagaire, gruaig, ton cnis meánach
💇🏾	bearradh gruaige, duine ag fáil bearradh gruaige, duine ag fáil bearradh gruaige: ton cnis meánach-dhorcha, gruagaire, gruaig, ton cnis meánach-dhorcha
💇🏿	bearradh gruaige, duine ag fáil bearradh gruaige, duine ag fáil bearradh gruaige: ton cnis dorcha, gruagaire, gruaig, ton cnis dorcha
💇🏻‍♂	bearradh gruaige, fear, fear ag fáil bearradh gruaige, fear ag fáil bearradh gruaige: ton cnis geal, fearann, ton cnis geal
💇🏼‍♂	bearradh gruaige, fear, fear ag fáil bearradh gruaige, fear ag fáil bearradh gruaige: ton cnis meánach-gheal, fearann, ton cnis meánach-gheal
💇🏽‍♂	bearradh gruaige, fear, fear ag fáil bearradh gruaige, fear ag fáil bearradh gruaige: ton cnis meánach, fearann, ton cnis meánach
💇🏾‍♂	bearradh gruaige, fear, fear ag fáil bearradh gruaige, fear ag fáil bearradh gruaige: ton cnis meánach-dhorcha, fearann, ton cnis meánach-dhorcha
💇🏿‍♂	bearradh gruaige, fear, fear ag fáil bearradh gruaige, fear ag fáil bearradh gruaige: ton cnis dorcha, fearann, ton cnis dorcha
💇🏻‍♀	baineann, bean, bean ag fáil bearradh gruaige, bean ag fáil bearradh gruaige: ton cnis geal, bearradh gruaige, ton cnis geal
💇🏼‍♀	baineann, bean, bean ag fáil bearradh gruaige, bean ag fáil bearradh gruaige: ton cnis meánach-gheal, bearradh gruaige, ton cnis meánach-gheal
💇🏽‍♀	baineann, bean, bean ag fáil bearradh gruaige, bean ag fáil bearradh gruaige: ton cnis meánach, bearradh gruaige, ton cnis meánach
💇🏾‍♀	baineann, bean, bean ag fáil bearradh gruaige, bean ag fáil bearradh gruaige: ton cnis meánach-dhorcha, bearradh gruaige, ton cnis meánach-dhorcha
💇🏿‍♀	baineann, bean, bean ag fáil bearradh gruaige, bean ag fáil bearradh gruaige: ton cnis dorcha, bearradh gruaige, ton cnis dorcha
🚶🏻	coisí, coisí: ton cnis geal, siúlóir, ton cnis geal
🚶🏼	coisí, coisí: ton cnis meánach-gheal, siúlóir, ton cnis meánach-gheal
🚶🏽	coisí, coisí: ton cnis meánach, siúlóir, ton cnis meánach
🚶🏾	coisí, coisí: ton cnis meánach-dhorcha, siúlóir, ton cnis meánach-dhorcha
🚶🏿	coisí, coisí: ton cnis dorcha, siúlóir, ton cnis dorcha
🚶🏻‍♂	fear, fear ag siúl, fear ag siúl: ton cnis geal, fearann, fánaíocht, siúl, ton cnis geal
🚶🏼‍♂	fear, fear ag siúl, fear ag siúl: ton cnis meánach-gheal, fearann, fánaíocht, siúl, ton cnis meánach-gheal
🚶🏽‍♂	fear, fear ag siúl, fear ag siúl: ton cnis meánach, fearann, fánaíocht, siúl, ton cnis meánach
🚶🏾‍♂	fear, fear ag siúl, fear ag siúl: ton cnis meánach-dhorcha, fearann, fánaíocht, siúl, ton cnis meánach-dhorcha
🚶🏿‍♂	fear, fear ag siúl, fear ag siúl: ton cnis dorcha, fearann, fánaíocht, siúl, ton cnis dorcha
🚶🏻‍♀	baineann, bean, bean ag siúl, bean ag siúl: ton cnis geal, fánaíocht, siúl, ton cnis geal
🚶🏼‍♀	baineann, bean, bean ag siúl, bean ag siúl: ton cnis meánach-gheal, fánaíocht, siúl, ton cnis meánach-gheal
🚶🏽‍♀	baineann, bean, bean ag siúl, bean ag siúl: ton cnis meánach, fánaíocht, siúl, ton cnis meánach
🚶🏾‍♀	baineann, bean, bean ag siúl, bean ag siúl: ton cnis meánach-dhorcha, fánaíocht, siúl, ton cnis meánach-dhorcha
🚶🏿‍♀	baineann, bean, bean ag siúl, bean ag siúl: ton cnis dorcha, fánaíocht, siúl, ton cnis dorcha
🏃🏻	ag rith, maratón, reathaí, reathaí: ton cnis geal, spórt, ton cnis geal
🏃🏼	ag rith, maratón, reathaí, reathaí: ton cnis meánach-gheal, spórt, ton cnis meánach-gheal
🏃🏽	ag rith, maratón, reathaí, reathaí: ton cnis meánach, spórt, ton cnis meánach
🏃🏾	ag rith, maratón, reathaí, reathaí: ton cnis meánach-dhorcha, spórt, ton cnis meánach-dhorcha
🏃🏿	ag rith, maratón, reathaí, reathaí: ton cnis dorcha, spórt, ton cnis dorcha
🏃🏻‍♂	ag rith, ag rásáil, fear, fear ag rith, fear ag rith: ton cnis geal, fearann, maratón, ton cnis geal
🏃🏼‍♂	ag rith, ag rásáil, fear, fear ag rith, fear ag rith: ton cnis meánach-gheal, fearann, maratón, ton cnis meánach-gheal
🏃🏽‍♂	ag rith, ag rásáil, fear, fear ag rith, fear ag rith: ton cnis meánach, fearann, maratón, ton cnis meánach
🏃🏾‍♂	ag rith, ag rásáil, fear, fear ag rith, fear ag rith: ton cnis meánach-dhorcha, fearann, maratón, ton cnis meánach-dhorcha
🏃🏿‍♂	ag rith, ag rásáil, fear, fear ag rith, fear ag rith: ton cnis dorcha, fearann, maratón, ton cnis dorcha
🏃🏻‍♀	ag rith, ag rásáil, baineann, bean, bean ag rith, bean ag rith: ton cnis geal, maratón, ton cnis geal
🏃🏼‍♀	ag rith, ag rásáil, baineann, bean, bean ag rith, bean ag rith: ton cnis meánach-gheal, maratón, ton cnis meánach-gheal
🏃🏽‍♀	ag rith, ag rásáil, baineann, bean, bean ag rith, bean ag rith: ton cnis meánach, maratón, ton cnis meánach
🏃🏾‍♀	ag rith, ag rásáil, baineann, bean, bean ag rith, bean ag rith: ton cnis meánach-dhorcha, maratón, ton cnis meánach-dhorcha
🏃🏿‍♀	ag rith, ag rásáil, baineann, bean, bean ag rith, bean ag rith: ton cnis dorcha, maratón, ton cnis dorcha
💃🏻	bean ag damhsa, bean ag damhsa: ton cnis geal, damhsa, damhsóir, ton cnis geal
💃🏼	bean ag damhsa, bean ag damhsa: ton cnis meánach-gheal, damhsa, damhsóir, ton cnis meánach-gheal
💃🏽	bean ag damhsa, bean ag damhsa: ton cnis meánach, damhsa, damhsóir, ton cnis meánach
💃🏾	bean ag damhsa, bean ag damhsa: ton cnis meánach-dhorcha, damhsa, damhsóir, ton cnis meánach-dhorcha
💃🏿	bean ag damhsa, bean ag damhsa: ton cnis dorcha, damhsa, damhsóir, ton cnis dorcha
🕺🏻	damhsa, fear ag damhsa, fear ag damhsa: ton cnis geal, rince, ton cnis geal
🕺🏼	damhsa, fear ag damhsa, fear ag damhsa: ton cnis meánach-gheal, rince, ton cnis meánach-gheal
🕺🏽	damhsa, fear ag damhsa, fear ag damhsa: ton cnis meánach, rince, ton cnis meánach
🕺🏾	damhsa, fear ag damhsa, fear ag damhsa: ton cnis meánach-dhorcha, rince, ton cnis meánach-dhorcha
🕺🏿	damhsa, fear ag damhsa, fear ag damhsa: ton cnis dorcha, rince, ton cnis dorcha
🧖🏻	duine i seomra gaile, duine i seomra gaile: ton cnis geal, seomra allais, seomra gaile, ton cnis geal
🧖🏼	duine i seomra gaile, duine i seomra gaile: ton cnis meánach-gheal, seomra allais, seomra gaile, ton cnis meánach-gheal
🧖🏽	duine i seomra gaile, duine i seomra gaile: ton cnis meánach, seomra allais, seomra gaile, ton cnis meánach
🧖🏾	duine i seomra gaile, duine i seomra gaile: ton cnis meánach-dhorcha, seomra allais, seomra gaile, ton cnis meánach-dhorcha
🧖🏿	duine i seomra gaile, duine i seomra gaile: ton cnis dorcha, seomra allais, seomra gaile, ton cnis dorcha
🧖🏻‍♀	bean, bean i seomra gaile, bean i seomra gaile: ton cnis geal, seomra allais, seomra gaile, ton cnis geal
🧖🏼‍♀	bean, bean i seomra gaile, bean i seomra gaile: ton cnis meánach-gheal, seomra allais, seomra gaile, ton cnis meánach-gheal
🧖🏽‍♀	bean, bean i seomra gaile, bean i seomra gaile: ton cnis meánach, seomra allais, seomra gaile, ton cnis meánach
🧖🏾‍♀	bean, bean i seomra gaile, bean i seomra gaile: ton cnis meánach-dhorcha, seomra allais, seomra gaile, ton cnis meánach-dhorcha
🧖🏿‍♀	bean, bean i seomra gaile, bean i seomra gaile: ton cnis dorcha, seomra allais, seomra gaile, ton cnis dorcha
🧖🏻‍♂	fear, fear i seomra gaile, fear i seomra gaile: ton cnis geal, seomra allais, seomra gaile, ton cnis geal
🧖🏼‍♂	fear, fear i seomra gaile, fear i seomra gaile: ton cnis meánach-gheal, seomra allais, seomra gaile, ton cnis meánach-gheal
🧖🏽‍♂	fear, fear i seomra gaile, fear i seomra gaile: ton cnis meánach, seomra allais, seomra gaile, ton cnis meánach
🧖🏾‍♂	fear, fear i seomra gaile, fear i seomra gaile: ton cnis meánach-dhorcha, seomra allais, seomra gaile, ton cnis meánach-dhorcha
🧖🏿‍♂	fear, fear i seomra gaile, fear i seomra gaile: ton cnis dorcha, seomra allais, seomra gaile, ton cnis dorcha
🧗🏻	deapadóir, duine ag dreapadóireacht, duine ag dreapadóireacht: ton cnis geal, ton cnis geal
🧗🏼	deapadóir, duine ag dreapadóireacht, duine ag dreapadóireacht: ton cnis meánach-gheal, ton cnis meánach-gheal
🧗🏽	deapadóir, duine ag dreapadóireacht, duine ag dreapadóireacht: ton cnis meánach, ton cnis meánach
🧗🏾	deapadóir, duine ag dreapadóireacht, duine ag dreapadóireacht: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
🧗🏿	deapadóir, duine ag dreapadóireacht, duine ag dreapadóireacht: ton cnis dorcha, ton cnis dorcha
🧗🏻‍♀	bean, bean ag dreapadóireacht, bean ag dreapadóireacht: ton cnis geal, dreapadóir, ton cnis geal
🧗🏼‍♀	bean, bean ag dreapadóireacht, bean ag dreapadóireacht: ton cnis meánach-gheal, dreapadóir, ton cnis meánach-gheal
🧗🏽‍♀	bean, bean ag dreapadóireacht, bean ag dreapadóireacht: ton cnis meánach, dreapadóir, ton cnis meánach
🧗🏾‍♀	bean, bean ag dreapadóireacht, bean ag dreapadóireacht: ton cnis meánach-dhorcha, dreapadóir, ton cnis meánach-dhorcha
🧗🏿‍♀	bean, bean ag dreapadóireacht, bean ag dreapadóireacht: ton cnis dorcha, dreapadóir, ton cnis dorcha
🧗🏻‍♂	dreapadóir, fear, fear ag dreapadóireacht, fear ag dreapadóireacht: ton cnis geal, ton cnis geal
🧗🏼‍♂	dreapadóir, fear, fear ag dreapadóireacht, fear ag dreapadóireacht: ton cnis meánach-gheal, ton cnis meánach-gheal
🧗🏽‍♂	dreapadóir, fear, fear ag dreapadóireacht, fear ag dreapadóireacht: ton cnis meánach, ton cnis meánach
🧗🏾‍♂	dreapadóir, fear, fear ag dreapadóireacht, fear ag dreapadóireacht: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha
🧗🏿‍♂	dreapadóir, fear, fear ag dreapadóireacht, fear ag dreapadóireacht: ton cnis dorcha, ton cnis dorcha
🧘🏻	ag machnamh, duine i suíomh na loiteoige, duine i suíomh na loiteoige: ton cnis geal, ióga, ton cnis geal
🧘🏼	ag machnamh, duine i suíomh na loiteoige, duine i suíomh na loiteoige: ton cnis meánach-gheal, ióga, ton cnis meánach-gheal
🧘🏽	ag machnamh, duine i suíomh na loiteoige, duine i suíomh na loiteoige: ton cnis meánach, ióga, ton cnis meánach
🧘🏾	ag machnamh, duine i suíomh na loiteoige, duine i suíomh na loiteoige: ton cnis meánach-dhorcha, ióga, ton cnis meánach-dhorcha
🧘🏿	ag machnamh, duine i suíomh na loiteoige, duine i suíomh na loiteoige: ton cnis dorcha, ióga, ton cnis dorcha
🧘🏻‍♀	ag machnamh, bean, bean i suíomh na loiteoige, bean i suíomh na loiteoige: ton cnis geal, ióga, ton cnis geal
🧘🏼‍♀	ag machnamh, bean, bean i suíomh na loiteoige, bean i suíomh na loiteoige: ton cnis meánach-gheal, ióga, ton cnis meánach-gheal
🧘🏽‍♀	ag machnamh, bean, bean i suíomh na loiteoige, bean i suíomh na loiteoige: ton cnis meánach, ióga, ton cnis meánach
🧘🏾‍♀	ag machnamh, bean, bean i suíomh na loiteoige, bean i suíomh na loiteoige: ton cnis meánach-dhorcha, ióga, ton cnis meánach-dhorcha
🧘🏿‍♀	ag machnamh, bean, bean i suíomh na loiteoige, bean i suíomh na loiteoige: ton cnis dorcha, ióga, ton cnis dorcha
🧘🏻‍♂	ag machnamh, fear, fear i suíomh na loiteoige, fear i suíomh na loiteoige: ton cnis geal, ióga, ton cnis geal
🧘🏼‍♂	ag machnamh, fear, fear i suíomh na loiteoige, fear i suíomh na loiteoige: ton cnis meánach-gheal, ióga, ton cnis meánach-gheal
🧘🏽‍♂	ag machnamh, fear, fear i suíomh na loiteoige, fear i suíomh na loiteoige: ton cnis meánach, ióga, ton cnis meánach
🧘🏾‍♂	ag machnamh, fear, fear i suíomh na loiteoige, fear i suíomh na loiteoige: ton cnis meánach-dhorcha, ióga, ton cnis meánach-dhorcha
🧘🏿‍♂	ag machnamh, fear, fear i suíomh na loiteoige, fear i suíomh na loiteoige: ton cnis dorcha, ióga, ton cnis dorcha
🛀🏻	duine ag folcadh, duine ag folcadh: ton cnis geal, folcadh, ton cnis geal
🛀🏼	duine ag folcadh, duine ag folcadh: ton cnis meánach-gheal, folcadh, ton cnis meánach-gheal
🛀🏽	duine ag folcadh, duine ag folcadh: ton cnis meánach, folcadh, ton cnis meánach
🛀🏾	duine ag folcadh, duine ag folcadh: ton cnis meánach-dhorcha, folcadh, ton cnis meánach-dhorcha
🛀🏿	duine ag folcadh, duine ag folcadh: ton cnis dorcha, folcadh, ton cnis dorcha
🛌🏻	codladh, duine sa leaba, duine sa leaba: ton cnis geal, ton cnis geal, óstán
🛌🏼	codladh, duine sa leaba, duine sa leaba: ton cnis meánach-gheal, ton cnis meánach-gheal, óstán
🛌🏽	codladh, duine sa leaba, duine sa leaba: ton cnis meánach, ton cnis meánach, óstán
🛌🏾	codladh, duine sa leaba, duine sa leaba: ton cnis meánach-dhorcha, ton cnis meánach-dhorcha, óstán
🛌🏿	codladh, duine sa leaba, duine sa leaba: ton cnis dorcha, ton cnis dorcha, óstán
🕴🏻	culaith, fear, fear i gculaith gnó ar eadarbhuas, fear i gculaith gnó ar eadarbhuas: ton cnis geal, gnó, ton cnis geal
🕴🏼	culaith, fear, fear i gculaith gnó ar eadarbhuas, fear i gculaith gnó ar eadarbhuas: ton cnis meánach-gheal, gnó, ton cnis meánach-gheal
🕴🏽	culaith, fear, fear i gculaith gnó ar eadarbhuas, fear i gculaith gnó ar eadarbhuas: ton cnis meánach, gnó, ton cnis meánach
🕴🏾	culaith, fear, fear i gculaith gnó ar eadarbhuas, fear i gculaith gnó ar eadarbhuas: ton cnis meánach-dhorcha, gnó, ton cnis meánach-dhorcha
🕴🏿	culaith, fear, fear i gculaith gnó ar eadarbhuas, fear i gculaith gnó ar eadarbhuas: ton cnis dorcha, gnó, ton cnis dorcha
🏇🏻	capall, capall rása, marcaí, rásaíocht, rásaíocht capall: ton cnis geal, rásaíocht chapall, spórt, ton cnis geal
🏇🏼	capall, capall rása, marcaí, rásaíocht, rásaíocht capall: ton cnis meánach-gheal, rásaíocht chapall, spórt, ton cnis meánach-gheal
🏇🏽	capall, capall rása, marcaí, rásaíocht, rásaíocht capall: ton cnis meánach, rásaíocht chapall, spórt, ton cnis meánach
🏇🏾	capall, capall rása, marcaí, rásaíocht, rásaíocht capall: ton cnis meánach-dhorcha, rásaíocht chapall, spórt, ton cnis meánach-dhorcha
🏇🏿	capall, capall rása, marcaí, rásaíocht, rásaíocht capall: ton cnis dorcha, rásaíocht chapall, spórt, ton cnis dorcha
🏂🏻	clár sneachta, clárscimeálaí sneachta, clárscimeálaí sneachta: ton cnis geal, scimeáil sneachta, spórt, ton cnis geal
🏂🏼	clár sneachta, clárscimeálaí sneachta, clárscimeálaí sneachta: ton cnis meánach-gheal, scimeáil sneachta, spórt, ton cnis meánach-gheal
🏂🏽	clár sneachta, clárscimeálaí sneachta, clárscimeálaí sneachta: ton cnis meánach, scimeáil sneachta, spórt, ton cnis meánach
🏂🏾	clár sneachta, clárscimeálaí sneachta, clárscimeálaí sneachta: ton cnis meánach-dhorcha, scimeáil sneachta, spórt, ton cnis meánach-dhorcha
🏂🏿	clár sneachta, clárscimeálaí sneachta, clárscimeálaí sneachta: ton cnis dorcha, scimeáil sneachta, spórt, ton cnis dorcha
🏌🏻	duine ag imirt gailf, duine ag imirt gailf: ton cnis geal, gailf, liathróid, ton cnis geal
🏌🏼	duine ag imirt gailf, duine ag imirt gailf: ton cnis meánach-gheal, gailf, liathróid, ton cnis meánach-gheal
🏌🏽	duine ag imirt gailf, duine ag imirt gailf: ton cnis meánach, gailf, liathróid, ton cnis meánach
🏌🏾	duine ag imirt gailf, duine ag imirt gailf: ton cnis meánach-dhorcha, gailf, liathróid, ton cnis meánach-dhorcha
🏌🏿	duine ag imirt gailf, duine ag imirt gailf: ton cnis dorcha, gailf, liathróid, ton cnis dorcha
🏌🏻‍♂	fear, fear ag imirt gailf, fear ag imirt gailf: ton cnis geal, fearann, gailf, ton cnis geal
🏌🏼‍♂	fear, fear ag imirt gailf, fear ag imirt gailf: ton cnis meánach-gheal, fearann, gailf, ton cnis meánach-gheal
🏌🏽‍♂	fear, fear ag imirt gailf, fear ag imirt gailf: ton cnis meánach, fearann, gailf, ton cnis meánach
🏌🏾‍♂	fear, fear ag imirt gailf, fear ag imirt gailf: ton cnis meánach-dhorcha, fearann, gailf, ton cnis meánach-dhorcha
🏌🏿‍♂	fear, fear ag imirt gailf, fear ag imirt gailf: ton cnis dorcha, fearann, gailf, ton cnis dorcha
🏌🏻‍♀	baineann, bean, bean ag imirt gailf, bean ag imirt gailf: ton cnis geal, gailf, ton cnis geal
🏌🏼‍♀	baineann, bean, bean ag imirt gailf, bean ag imirt gailf: ton cnis meánach-gheal, gailf, ton cnis meánach-gheal
🏌🏽‍♀	baineann, bean, bean ag imirt gailf, bean ag imirt gailf: ton cnis meánach, gailf, ton cnis meánach
🏌🏾‍♀	baineann, bean, bean ag imirt gailf, bean ag imirt gailf: ton cnis meánach-dhorcha, gailf, ton cnis meánach-dhorcha
🏌🏿‍♀	baineann, bean, bean ag imirt gailf, bean ag imirt gailf: ton cnis dorcha, gailf, ton cnis dorcha
🏄🏻	duine ag surfáil, duine ag surfáil: ton cnis geal, spórt, surfáil, surfálaí, ton cnis geal
🏄🏼	duine ag surfáil, duine ag surfáil: ton cnis meánach-gheal, spórt, surfáil, surfálaí, ton cnis meánach-gheal
🏄🏽	duine ag surfáil, duine ag surfáil: ton cnis meánach, spórt, surfáil, surfálaí, ton cnis meánach
🏄🏾	duine ag surfáil, duine ag surfáil: ton cnis meánach-dhorcha, spórt, surfáil, surfálaí, ton cnis meánach-dhorcha
🏄🏿	duine ag surfáil, duine ag surfáil: ton cnis dorcha, spórt, surfáil, surfálaí, ton cnis dorcha
🏄🏻‍♂	fear, fear ag surfáil, fear ag surfáil: ton cnis geal, fearann, surfáil, ton cnis geal
🏄🏼‍♂	fear, fear ag surfáil, fear ag surfáil: ton cnis meánach-gheal, fearann, surfáil, ton cnis meánach-gheal
🏄🏽‍♂	fear, fear ag surfáil, fear ag surfáil: ton cnis meánach, fearann, surfáil, ton cnis meánach
🏄🏾‍♂	fear, fear ag surfáil, fear ag surfáil: ton cnis meánach-dhorcha, fearann, surfáil, ton cnis meánach-dhorcha
🏄🏿‍♂	fear, fear ag surfáil, fear ag surfáil: ton cnis dorcha, fearann, surfáil, ton cnis dorcha
🏄🏻‍♀	baineann, bean, bean ag surfáil, bean ag surfáil: ton cnis geal, surfáil, ton cnis geal
🏄🏼‍♀	baineann, bean, bean ag surfáil, bean ag surfáil: ton cnis meánach-gheal, surfáil, ton cnis meánach-gheal
🏄🏽‍♀	baineann, bean, bean ag surfáil, bean ag surfáil: ton cnis meánach, surfáil, ton cnis meánach
🏄🏾‍♀	baineann, bean, bean ag surfáil, bean ag surfáil: ton cnis meánach-dhorcha, surfáil, ton cnis meánach-dhorcha
🏄🏿‍♀	baineann, bean, bean ag surfáil, bean ag surfáil: ton cnis dorcha, surfáil, ton cnis dorcha
🚣🏻	bád, bád rámhaíochta, duine ag rámhaíocht báid, duine ag rámhaíocht báid: ton cnis geal, feithicil, ton cnis geal
🚣🏼	bád, bád rámhaíochta, duine ag rámhaíocht báid, duine ag rámhaíocht báid: ton cnis meánach-gheal, feithicil, ton cnis meánach-gheal
🚣🏽	bád, bád rámhaíochta, duine ag rámhaíocht báid, duine ag rámhaíocht báid: ton cnis meánach, feithicil, ton cnis meánach
🚣🏾	bád, bád rámhaíochta, duine ag rámhaíocht báid, duine ag rámhaíocht báid: ton cnis meánach-dhorcha, feithicil, ton cnis meánach-dhorcha
🚣🏿	bád, bád rámhaíochta, duine ag rámhaíocht báid, duine ag rámhaíocht báid: ton cnis dorcha, feithicil, ton cnis dorcha
🚣🏻‍♂	bád, bád iomartha, fear, fear ag iomair báid, fear ag rámhaíocht báid, fear ag rámhaíocht báid: ton cnis geal, fearann, ton cnis geal
🚣🏼‍♂	bád, bád iomartha, fear, fear ag iomair báid, fear ag rámhaíocht báid, fear ag rámhaíocht báid: ton cnis meánach-gheal, fearann, ton cnis meánach-gheal
🚣🏽‍♂	bád, bád iomartha, fear, fear ag iomair báid, fear ag rámhaíocht báid, fear ag rámhaíocht báid: ton cnis meánach, fearann, ton cnis meánach
🚣🏾‍♂	bád, bád iomartha, fear, fear ag iomair báid, fear ag rámhaíocht báid, fear ag rámhaíocht báid: ton cnis meánach-dhorcha, fearann, ton cnis meánach-dhorcha
🚣🏿‍♂	bád, bád iomartha, fear, fear ag iomair báid, fear ag rámhaíocht báid, fear ag rámhaíocht báid: ton cnis dorcha, fearann, ton cnis dorcha
