🦵🏻	karnacja jasna, kopniak, kończyna, noga, noga: karnacja jasna
🤷‍♂	mężczyzna, mężczyzna wzruszający ramionami, obojętność, wzruszenie ramion, wątpliwość
🤷‍♀	kobieta, kobieta wzruszająca ramionami, obojętność, wzruszenie ramion, wątpliwość
💆	kosmetyczka, masaż, osoba podczas masażu, salon masażu
💆‍♂	głowa, masaż, mężczyzna, mężczyzna podczas masażu, twarz
💆‍♀	głowa, kobieta, kobieta podczas masażu, masaż, twarz
💇	cięcie włosów, fryzjerka, fryzura, osoba podczas strzyżenia
💇‍♂	fryzura, mężczyzna, mężczyzna podczas strzyżenia, strzyżenie
💇‍♀	fryzura, kobieta, kobieta podczas strzyżenia, strzyżenie
🚶	idąca osoba, iść, na piechotę, piechur, pieszo, spacer
🚶‍♂	chodzenie, idący mężczyzna, mężczyzna, piechur, spacer
🚶‍♀	chodzenie, idąca kobieta, kobieta, piechur, spacer
🏃	bieg, bieganie, biegnąca osoba, maraton, pośpiech
🏃‍♂	bieg, bieganie, biegnący mężczyzna, maraton, mężczyzna
🏃‍♀	bieg, bieganie, biegnąca kobieta, kobieta, maraton
💃	taniec, tańczyć, tańcząca kobieta
🕺	taniec, tańczyć, tańczący mężczyzna
👯	dziewczyny, kobiety, króliczki, osoby z uszami królika na przyjęciu, tancerki, uszy
👯‍♂	impreza, królicze uszy, mężczyźni, mężczyźni z uszami królika na przyjęciu, tancerze
👯‍♀	impreza, kobiety, kobiety z uszami królika na przyjęciu, królicze uszy, tancerki
🧖	osoba w zaparowanym pomieszczeniu, sauna, zaparowane pomieszczenie
🧖‍♀	kobieta w zaparowanym pomieszczeniu, sauna, zaparowane pomieszczenie
🧖‍♂	mężczyzna w zaparowanym pomieszczeniu, sauna, zaparowane pomieszczenie
🧗	osoba wspinająca się, wspinacz
🧗‍♀	kobieta wspinająca się, wspinacz
🧗‍♂	mężczyzna wspinający się, wspinacz
🧘	joga, medytacja, osoba w pozycji lotosu
🧘‍♀	joga, kobieta w pozycji lotosu, medytacja
🧘‍♂	joga, medytacja, mężczyzna w pozycji lotosu
🛀	kąpiel, osoba biorąca kąpiel, wanna
🛌	hotel, nocleg, osoba w łóżku, sen
👤	osoba, sylwetka popiersia
👥	osoby, sylwetki, sylwetki popiersi
🤺	osoba uprawiająca szermierkę, sport, szermierka, szermierz, szpada
🏇	jeździec, koń, wyścigi konne
🏌‍♂	golf, mężczyzna, mężczyzna grający w golfa
🏌‍♀	golf, kobieta, kobieta grająca w golfa
🏄‍♂	deska, mężczyzna, surfing, surfujący mężczyzna
🏄‍♀	deska, kobieta, surfing, surfująca kobieta
🚣	osoba wiosłująca w łodzi, pojazd, łódka
🚣‍♂	mężczyzna, mężczyzna wiosłujący w łodzi, wiosłowanie, łódka
🚣‍♀	kobieta, kobieta wiosłująca w łodzi, wiosłowanie, łódka
🏊‍♂	kraul, mężczyzna, pływający mężczyzna, pływanie
🏊‍♀	kobieta, kraul, pływająca kobieta, pływanie
⛹‍♂	kozłowanie, mężczyzna, mężczyzna kozłujący piłkę, piłka
⛹‍♀	kobieta, kobieta kozłująca piłkę, kozłowanie, piłka
🏋‍♂	ciężar, ciężarowiec, mężczyzna, mężczyzna podnoszący ciężary
🏋‍♀	ciężar, ciężarowiec, kobieta, kobieta podnosząca ciężary
🚴	kolarz, osoba na rowerze, peleton, rower
🚴‍♂	jazda, mężczyzna, mężczyzna na rowerze, rower
🚴‍♀	jazda, kobieta, kobieta na rowerze, rower
🚵	górski, osoba na rowerze górskim, rower, rowerzysta
🚵‍♂	jazda, mężczyzna, mężczyzna na rowerze górskim, rower górski
🚵‍♀	jazda, kobieta, kobieta na rowerze górskim, rower górski
🤸	gimnastyka, gwiazda, osoba robiąca gwiazdę, sport
🤸‍♂	gimnastyka, gwiazda, mężczyzna, mężczyzna robiący gwiazdę, sport
🤸‍♀	gimnastyka, gwiazda, kobieta, kobieta robiąca gwiazdę, sport
🤼	osoby uprawiające zapasy, sport, zapasy, zapaśnik
🤼‍♂	mężczyźni, mężczyźni uprawiający zapasy, sport, zapasy, zapaśnicy
🤼‍♀	kobiety, kobiety uprawiające zapasy, sport, zapasy, zapaśniczki
🤽	gra, osoba grająca w piłkę wodną, piłka, sport, woda
🤽‍♂	mężczyzna, mężczyzna grający w piłkę wodną, piłka, piłka wodna, sport
🤽‍♀	kobieta, kobieta grająca w piłkę wodną, piłka, piłka wodna, sport
🤾	gra, osoba grająca w piłkę ręczną, piłka, sport
🤾‍♂	mężczyzna, mężczyzna grający w piłkę ręczną, piłka ręczna, sport
🤾‍♀	kobieta, kobieta grająca w piłkę ręczną, piłka ręczna, sport
🤹	cyrk, spryt, żonglerka, żonglerz, żonglująca osoba
🤹‍♂	mężczyzna, żonglerka, żonglowanie, żonglujący mężczyzna
🤹‍♀	kobieta, żonglerka, żonglowanie, żonglująca kobieta
👫	miłość, mężczyzna i kobieta trzymający się za ręce, para, za ręce, zakochani
👬	dwóch mężczyzn trzymających się za ręce, miłość, para, za ręce, zakochani
👭	dwie kobiety trzymające się za ręce, miłość, para, za ręce, zakochani
💏	miłość, para, pocałunek, zakochani
💑	miłość, para, para z sercem, pocałunek, zakochani
🤳	aparat, selfie, telefon, zdjęcie
💪	mięśnie, muskularny, muskuły, napięty biceps, silny, siła
🦵	kopniak, kończyna, noga
🦶	kopniak, stopa, tupanie
🖕	gest, wulgarny gest, środkowy palec
🤞	kciuki, powodzenia, skrzyżowane palce, trzymać
🖖	dłoń, palce, salut wolkański, wolkański
🤘	gest rogów, rocker, rogi, znak rockersów
🤙	dzwonić, dłoń w geście „Zadzwoń do mnie”, telefonować
✋	dłoń, stop, uwaga, wzniesiona dłoń
👌	dłoń z gestem OK, znak OK
✊	pięść, uniesiona, wzniesiona pięść, zaciśnięta
👊	cios pięścią, pięść, pięść od przodu, prawy prosty, sierpowy, zaciśnięta pięść
🤛	cios, pięść, pięść skierowana w lewo, uderzenie z prawej
🤜	cios, pięść, pięść skierowana w prawo, uderzenie z lewej
🤚	powitanie, pozdrowienie, pożegnanie, uniesiona dłoń, wzniesiony grzbiet dłoni
👋	machająca dłoń
🤟	gest Kocham cię, kocham, ręka
👏	brawa, klaskanie, klaskać, oklaski
👐	otwarte dłonie, puste ręce, złapać
🙌	hura!, super, wzniesione ręce
🤲	dłonie do góry razem, modlitwa
🙏	modlitwa, prosić, złożone ręce
🤝	powitanie, spotkanie, uścisk, uścisk dłoni, zgoda
💅	ciało, kosmetyki, lakier do paznokci, lakierować paznokcie, manicure, pielęgnacja
👃	ciało, nos
👣	odciski stóp, stopy, ślady, ślady stóp
👀	oczy, oko, twarz
👁‍🗨	dymek, oko, oko w dymku, wzrok
🧠	inteligentny, mózg
🦴	kość, szkielet
🦷	dentysta, ząb
👅	ciało, język
👄	ciało, usta, wargi
🦰	ruda, rude, rude włosy, rudy
🦱	afro, kręcone, kręcone włosy, kędzierzawe, kędzierzawy
🦳	białe, białe włosy, siwe, starsza, starszy, włosy
🦲	bez włosów, bezwłosa, bezwłosy, chemioterapia, ogolona, łysy
💋	odcisk ust, pocałunek, usta, ślad po pocałunku
💘	przebite strzałą, serce przebite strzałą, serce ze strzałą
💝	serce, serce ze wstążką, walentynki, wstążka
💖	błyszczące serce, migoczące serce
💗	bicie serca, puls, rosnące serce, serce rośnie, tętno, zdenerwowany
💓	bijące serce, kocham cię
💞	miłość, para, serca dwa, tańczące serca, wirujące serca
💕	dwa serca, kocham, miłość, serca
💌	list, list miłosny, liścik, miłość, serce, wiadomość
💔	pęknięte, serce, złamane serce
🧡	pomarańczowe, pomarańczowe serce
💛	serce, żółte, żółte serce
💚	serce, zielone, zielone serce
💙	niebieskie, niebieskie serce, serce
💜	fioletowe, purpurowe serce, serce
🖤	czarne serce, czarny, serce, zło
💟	dekoracja, dekoracja z sercem, ozdoba
💤	chrapanie, zabawny, żartobliwy
💢	symbol gniewu, złość
💥	kolizja, wybuch, żartobliwy
💦	krople, krople potu, pot, woda
💨	podmuch wiatru, pęd, pędzić, szybkie poruszanie się, szybkość, wiatr
💫	spadająca gwiazda, zawroty głowy
💬	dialog, dymek, rozmowa
💭	dymek myśli, myśl, myśleć
🥽	ochrona oczu, okulary ochronne, pływanie, spawanie
🥼	biały fartuch, eksperyment, kitel, lekarz, naukowiec
👔	koszula, krawat, męski, ozdoba
👕	koszulka, męska, z krótkimi rękawami
👖	dżinsy, jeansy, portki, ubiór, ubranie
🧣	szalik, szyja
🧤	ręka, rękawiczki
🧥	kurtka, płaszcz
🧦	skarpetki, skarpety
👗	sukienka, suknia, ubiór, ubranie
👘	kimono, ubiór, ubranie
👙	bikini, do pływania, strój kąpielowy, ubiór, ubranie
👚	damska, ubiór, ubranie, ubranie damskie
👛	na monety, portmonetka, torebka
👜	bagaż, damska torebka, torebka
👝	damska, saszetka, torebka
🎒	plecak, tornister
👞	but, but męski, męski
👟	bieganie, but, but do biegania, sport, trampek
🥾	biwak, but, but turystyczny, piesze wędrówki, wędrówki z plecakiem
🥿	baleriny, baletki, but wsuwany, pantofelek
👠	but na wysokim obcasie, na szpilkach, szpilka, wysoki obcas
👡	but, damski, obuwie, sandał, sandał damski
👢	kozaczek, kozak damski
👑	korona, król, królowa
👒	damski, kapelusz, kapelusz damski, nakrycie głowy, ze wstążką
🎩	cylinder, kapelusz, męskie nakrycie głowy
🧢	bejsbolówka, czapeczka
📿	korale, koraliki, modlitwa, naszyjnik, religia, różaniec, sznur modlitewny
💄	kosmetyki, makijaż, malować usta, szminka
💍	diament, miłość, pierścionek, zaręczyny
💎	diament, kamień szlachetny, miłość, romans
🐵	buźka, głowa małpy, małpka
🐒	małpa, zwierzątko
🦍	goryl, zwierzę
🐶	głowa psa, pies, psiaczek, pysk, pyszczek
🐩	ostrzyżony, pies, piesek, pudel, pudelek
🐺	głowa wilka, pysk
🦊	głowa lisa, lis, zwierzę
🦝	ciekawski, szop, szop pracz
🐱	głowa kota, kicia, kot, pysk, pyszczek, zwierzę
🦁	buźka, grzywa, głowa lwa, lew, pysk
🐯	buźka, głowa tygrysa, kot, pyszczek
🐅	tygrys
🐆	lampart
🐴	głowa, głowa konia, konia, końska, koński, łeb
🐎	koń, koń wyścigowy, wierzchowiec, wyścigi konne
🦄	głowa, głowa jednorożca, jednorożec, łeb
🦓	zebra
🦌	jeleń, zwierzę
🐮	głowa, głowa krowy, krowa, łeb
🐂	byk, wół, zodiak
🐃	bawół wodny, wół domowy
🐄	krowa, krówka
🐷	buźka, głowa świni, świnia, świnka
🐖	maciora, świnia
🐗	dzik, dzika świnia, knur
🐽	nosek, ryj świni, ryjek, świński ryjek
🐏	baranek, biały baran, owca, rogaty, rogi
🐑	baranek, owca, samica
🐐	koza, koziorożec, zodiak
🐪	dromader, wielbłąd
🐫	baktrian, garby, wielbłąd, wielbłąd dwugarbny
🦙	alpaka, gwanako, lama, wełna, wikunia
🦒	żyrafa
🐘	słoń
🦏	nosorożec, zwierzę
🦛	hipopotam
🐭	buźka, głowa myszy, mysz, myszka
🐁	mysz, myszka
🐀	szczur
🐹	głowa chomika, mysz
🐰	głowa królika, królik, zając
🐇	królik, zając
🦔	jeż
🦇	nietoperz, wampir, zwierzę
🐻	buźka, głowa niedźwiedzia, niedźwiedź
🐨	koala, miś
🐼	głowa pandy, miś
🦘	Australia, kangur, skoczny, torbacz
🦡	borsuk
🐾	odciski, tropy, łapy, ślady, ślady łap
🦃	indyk
🐔	kura, kurczak
🐓	kogut
🐣	kurczaczek, kurczątko, pisklak, wykluwające się kurczątko, wykluwać się
🐤	kurczaczek, kurczątko, pisklak
🐥	kurczątko od przodu, pisklak, pisklę
🐧	pingwin
🦅	orzeł, ptak
🦆	kaczka, ptak
🦢	brzydkie kaczątko, ptak, łabędź
🦉	mądrość, ptak, sowa
🦚	dumny, paw, ptak
🦜	gadająca, papuga, pirat, ptak
🐸	głowa żaby, ropucha, traszka, żaba, żabka
🐊	aligator, krokodyl
🐢	żółw
🦎	gad, jaszczurka
🐍	dusiciel, jadowity, wąż, żmija
🐲	bajka, baśń, głowa smoka, smok
🐉	bajka, baśń, smok
🦕	zauropod
🦖	t-rex
🐳	fontanna, strumień wody, wieloryb, wieloryb tryskający wodą
🐋	wieloryb
🐬	delfin
🐠	ryba, ryba tropikalna, tropikalna
🐡	rozdymka, ryba rozdymka
🦈	rekin, ryba
🐙	ośmiornica
🐚	muszelka, muszla spiralna, spirala
🦀	krab, rak, zodiak
🦞	homar, owoce morza, szczypce
🦐	jedzenie, krewetka, owoce morza
🦑	jedzenie, kałamarnica, mięczak, ośmiornica
🐌	ślimak
🦋	kolorowy, motyl, owad
🐛	gąsienica, insekt, owad
🐜	insekt, mrówka, owad
🐝	insekt, owad, pszczoła, pszczółka
🐞	biedronka, chrabąszcz, kropki, owad, żuk
🦗	świerszcz
🦂	brązowy skorpion, skorpion, zodiak
🦟	choroba, gorączka, komar, malaria, owad, wirus
🦠	ameba, bakteria, drobnoustrój, mikrob, wirus, zarazek
💐	bukiet, bukiet kwiatów, kwiaty
🌸	kwiat wiśni, kwitnąca wiśnia
💮	biały kwiat, kontury
🌹	kwiat, roślina, róża
🥀	kwiat, róża, więdnąć, zwiędły kwiat
🌺	kwiat hibiskusa, kwiatek, kwitnie, roślina
🌻	kwiat, roślina, słonecznik, słońce
🌼	kwiat, kwiatek, kwitnie, roślina
🌷	kwiat, kwiatek, pąk, tulipan
🌱	pęd, roślinka, sadzonka
🌲	drzewo iglaste, wiecznie zielone drzewo
🌳	drzewo liściaste, roślina
🌴	drzewo, palma
🌵	kaktus, roślina
🌾	pędy ryżu, roślina, ryż
🌿	liście, zioła, zioło
🍀	czterolistna koniczyna, koniczyna, koniczynka, szczęście
🍁	liść, liść jesienny, liść klonowy, liść klonu
🍂	liście, roślina, spadające liście, spadanie
🍃	liście na wietrze, podmuch, roślina, trzepotanie, wiatr, wicher
🍇	owoce, winogrona
🍈	melon, owoc
🍉	arbuz, kawałek arbuza, owoc
🍊	cytrus, mandarynka, owoc, pomarańcza
🍋	cytrus, cytryna, kwaśny, owoc, żółty
🍌	banan, egzotyczny, owoc
🍍	ananas, egzotyczny, owoc
🥭	mango, owoc, tropikalny
🍎	czerwone, czerwone jabłko, owoc, słodkie
🍏	jabłko, owoc, zielone jabłko, zielone jabłuszko
🍐	gruszka, owoc
🍑	brzoskwinia, owoc
🍒	owoce, wiśnie
🍓	owoc, truskawka
🥝	jedzenie, kiwi, owoc, owoc kiwi
🍅	pomidor, szklarniowe, warzywo
🥥	kokos
🥑	awokado, jedzenie, owoc
🍆	bakłażan, oberżyna, warzywo
🥔	jedzenie, kartofel, warzywo, ziemniak
🥕	jedzenie, marchew, marchewka, warzywo
🌽	kolba kukurydzy, kukurydza
🥒	jedzenie, korniszon, ogórek, pikle, warzywo
🥬	bok choy, jarmuż, kapusta, kapusta pekińska, sałata, zielenina liściasta
🥦	brokuł
🍄	grzyb, muchomor, trujący
🥜	fistaszki, jedzenie, orzeszki, orzeszki ziemne
🌰	jedzenie, kasztan, kasztan jadalny
🍞	bochenek, chleb, kawałek chleba, pieczywo
🥐	jedzenie, pieczywo, rogal, rogalik, rogalik francuski
🥖	bagietka, bułka, chleb, jedzenie, pieczywo
🥨	precel
🥯	bajgiel, pieczywo, piekarnia, posmarować
🥞	jedzenie, naleśniki, placki
🧀	kawałek sera, ser, szwajcarski, z dziurami, żółty
🍖	kość, mięso, mięso z kością
🍗	nóżka, udko kurczaka
🥩	kawałek mięsa
🥓	bekon, boczek, jedzenie, mięso
🍔	fast food, hamburger
🍟	frytki
🍕	kawałek pizzy, pizza
🌭	bułka, frankfurterka, gorący pies, hot dog, hotdog, parówka
🥪	kanapka
🌮	meksykańskie jedzenie, taco
🌯	burito, burrito, meksykańskie jedzenie
🥙	falafel, gyros, jedzenie, kebab, tortilla, wrap
🥚	jajko, jajo, jedzenie
🍳	gotowanie, jajko, smażyć
🥘	danie z patelni, jedzenie, paella, patelnia, wok
🍲	garnek z jedzeniem, jedzenie, potrawka
🥣	miska z łyżką
🥗	jedzenie, sałata, sałatka
🍿	popcorn
🧂	przyprawa, solniczka, sól
🥫	jedzenie w puszce
🍱	bento, pudełko bento
🍘	krakers, krakers ryżowy, ryż, ryżowy
🍙	kulka ryżowa, onigiri, ryż
🍚	gotowany ryż, ryż
🍛	curry, ryż, ryż curry, sos
🍜	miska, miska parującego jedzenia, parująca miska
🍝	kluski, makaron, pasta, spaghetti
🍠	batat, pieczony batat, słodki ziemniak
🍢	oden, owoce morza, owoce morza na patyku
🍣	sushi, suszi
🍤	smażona krewetka
🍥	ciastko, ciastko rybne, ryba, rybne, spirala
🥮	ciasteczko księżycowe, jesień, yuèbǐng, święto
🍡	dango, kulki mochi
🥟	pieróg
🥠	ciastko z wróżbą
🥡	pudełko na wynos
🍦	lody włoskie, lody śmietankowe, w kubku
🍧	deser, lody, lody hawajskie, lody kulki
🍨	deser, lody, lód
🍩	ciasto, deser, pączek, pączek z dziurką, z dziurką
🍪	ciastko, deser, słodki, słodkie ciastko
🎂	tort urodzinowy, zdmuchnąć, świeczki
🍰	ciasto, deser, słodycze, tort
🧁	babeczka, cukiernia, deser
🥧	ciasto
🍫	deser, słodycze, tabliczka czekolady
🍬	cukierek, deser, słodki, słodycze
🍭	deser, lizak, słodki, słodycze
🍮	ciastko kremowe, deser typu krem angielski, krem
🍯	beczka z miodem, garnek miodu, słoik miodu
🍼	butelka, butelka ze smoczkiem, dzidziuś, mleko, napój, niemowlęca, ze smoczkiem
🥛	mleko, napój, szklanka, szklanka mleka
🍵	filiżanka, filiżanka bez uszka, spodek
🍶	butelka i kubek, sake
🍾	bar, butelka, butelka z wystrzelającym korkiem, korek, nowy rok, sylwester, toast
🍷	alkohol, kieliszek, kieliszek wina, wino
🍹	bar, drink tropikalny, tropikalny
🍺	kufel, kufel piwa, kufel z piwem
🍻	kufle, kufle z piwem, piwiarnia, stukające się kufle piwa
🥂	kieliszki, na zdrowie, stukające się kieliszki, toast, świętowanie
🥃	alkohol, drink, grube dno, szklanka, szklanka z grubym dnem, whisky
🥤	szklanka ze słomką
🥢	pałeczki
🍴	gotowanie, nóż, widelec, widelec i nóż
🥄	sztućce, łyżeczka, łyżka
🔪	broń, gotowanie, narzędzie, nóż, nóż kuchenny
🏺	amfora, dzban, puchar, stągiew, waza, wodnik, zodiak
🌍	Afryka, Europa, Ziemia, kula ziemska przedstawiająca Europę i Afrykę
🌏	Australia, Azja, Ziemia, kula ziemska przedstawiająca Azję i Australię
🌐	glob, globus, kula ziemska z południkami, południki, równoleżniki
🗾	japonia, mapa, mapa Japonii
🧭	kompas, magnetyzm, nawigacja, orientacja w terenie
🌋	erupcja, góra, wulkan
🗻	fudżi, fuji, góra, góra Fudżi
🧱	cegła, cegły, glina, mur, zaprawa
🏡	dom, dom z ogrodem, drzewo, ogród
🏢	biurowiec, blok
🏣	budynek, japońska poczta, poczta
🏤	budynek, urząd pocztowy
🏥	budynek, lecznica, lekarz, medycyna, szpital
🏦	bank, budynek
🏨	budynek, hotel
🏩	hotel, hotel miłości, japoński hotel miłości
🏪	sklep, sklep całodobowy
🏫	budynek, szkoła
🏬	dom towarowy, sklep, supermarket
🏯	budynek, japoński, japoński zamek, zamek
🏰	budynek, europejski, zamek
💒	kaplica, kościół, miłość, serce, uroczystość, ślub
🗼	Tokyo Tower, tokio, wieża
🗽	Statua Wolności, statua, wolności
🕌	islam, meczet, muzułmanin, religia
🕍	religia, synagoga, świątynia, żyd, żydowski
🕋	islam, kaaba, muzułmanin, religia
🌁	mglisto, mgła, pogoda, zamglenie, zamglone
🌃	gwiazdy, noc z gwiazdami, rozgwieżdżone niebo
🌄	góry, ranek, słońce, wschód, wschód słońca zza gór
🌅	brzask, wschód słońca
🌆	budynki, miasto, miasto o zmierzchu, wieżowce, zachód słońca, zmierzch
🌇	budynki, miasto, zachód słońca, zmierzch
🌉	most nocą, most w nocy
🌌	Droga Mleczna, droga mleczna, gwiazdy, niebo, noc
🎠	konik, koń z karuzeli
🎡	diabelski, diabelski młyn, karuzela, młyn, park rozrywki, wesołe miasteczko
🎢	kolejka górska, park rozrywki, wesołe miasteczko
💈	fryzjer, słup fryzjerski
🎪	namiot, namiot cyrkowy
🚂	ciuchcia, kolej, lokomotywa, pociąg, stara lokomotywa
🚃	elektryczny, kolejowy, pociąg, pojazd, szynowy, tramwaj, wagon kolejowy
🚄	kolej, pendolino, pojazd szynowy, shinkansen, szybki pociąg
🚅	kolej, pendolino, pojazd szynowy, szybki pociąg, szybki pociąg z zaokrąglonym przodem
🚆	kolej, pociąg, pojazd
🚈	kolej, kolej miejska, kolejka, pociąg, podmiejski
🚉	dworzec, kolej, stacja
🚊	szynowy, tramwaj, trolejbus
🚝	kolej, kolej jednoszynowa, pojazd, szynowy
🚞	górski, kolej, kolej górska, pojazd, wagon
🚋	pojazd, szynowy, tramwaj, trolejbus, wagon, wagon tramwajowy
🚌	autobus, autokar, pojazd
🚎	autobus, elektryczny, pojazd, trolejbus
🚐	busik, minibus
🚒	pożar, samochód strażacki, straż pożarna, wóz strażacki
🚓	patrol, policja, samochód policyjny
🚕	taksówka, taxi
🚖	nadjeżdżająca taksówka, nadjeżdżać, taksówka, taxi
🚗	auto, pojazd, samochód
🚙	pojazd, samochód, samochód SUV, wypoczynkowy
🚚	ciężarówka, dostawczy, samochód dostawczy
🚛	ciężarówka, dostawczy, samochód ciężarowy
🚜	ciągnik, rolniczy
🛴	hulajnoga, pojazd
🛹	deska, deskorolka, skateboard
🛵	motor, pojazd, skuter
🚏	przystanek, przystanek autobusowy
🚨	kogut policyjny, lampa obrotowa, policyjny, sygnalizator świetlny
🚥	pozioma sygnalizacja uliczna, sygnalizacja świetlna
🚦	pionowa sygnalizacja uliczna, sygnalizacja świetlna
🛑	stop, znak, znak drogowy, znak stopu
🚧	bariera, prace drogowe, znak drogowy
🛶	kajak, łódź
🚤	łódka, łódź, ścigacz wodny
🚢	okręt, statek
🛫	odlot, odlot samolotu, odprawa, samolot, start, wylot
🛬	lądowanie, przylot, przylot samolotu, samolot
💺	fotel, krzesło
🚁	helikopter, śmigłowiec
🚟	kolej, kolej podwieszana, pociąg, podwieszana
🚠	gondola, gondolowa, górska, górska kolej linowa, linowa
🚡	gondola, górska, kolej linowa, kolejka, linowa, podwieszana, wagonik
🚀	kosmiczny, rakieta, statek
🛸	UFO, latający talerz
🧳	bagaż, pakowanie, podróż, walizka
⏰	budzik, zegar
🕧	12, 12:30, 30, dwunasta trzydzieści, godzina, godzina 12:30, zero trzydzieści
🕜	1, 1:30, 30, godzina, godzina 1:30, pierwsza trzydzieści, trzynasta trzydzieści
🕝	2, 2:30, 30, czternasta trzydzieści, druga trzydzieści, godzina, godzina 2:30
🕞	3, 30, 3:30, godzina, godzina 3:30, piętnasta trzydzieści, trzecia trzydzieści
🕟	30, 4, 4:30, czwarta trzydzieści, godzina, godzina 4:30, szesnasta trzydzieści
🕠	30, 5, 5:30, godzina, godzina 5:30, piąta trzydzieści, siedemnasta trzydzieści
🕡	30, 6, 6:30, godzina, godzina 6:30, osiemnasta trzydzieści, szósta trzydzieści
🕢	30, 7, 7:30, dziewiętnasta trzydzieści, godzina, godzina 7:30, siódma trzydzieści
🕣	30, 8, 8:30, dwudziesta trzydzieści, godzina, godzina 8:30, ósma trzydzieści
🕤	30, 9, 9:30, dwudziesta pierwsza trzydzieści, dziewiąta trzydzieści, godzina, godzina 9:30
🕥	10, 10:30, 30, dwudziesta druga trzydzieści, dziesiąta trzydzieści, godzina, godzina 10:30
🕦	11, 11:30, 30, dwudziesta trzecia trzydzieści, godzina, godzina 11:30, jedenasta trzydzieści
🌑	ciemny księżyc, nów
🌒	cieniutki księżyc, księżyc, narastający półksiężyc, sierp
🌓	księżyc, kwadra, pierwsza kwadra księżyca
🌔	księżyc z brzuszkiem, narastający księżyc między pierwszą kwadrą a pełnią, tłusty księżyc
🌖	chudnący, księżyc, zanikający księżyc między pierwszą kwadrą a pełnią
🌗	księżyc, kwadra, ostatnia kwadra księżyca
🌘	cieniutki księżyc, księżyc, sierp, zanikający półksiężyc
🌙	księżyc, półksiężyc, sierp
🌚	księżyc, księżyc w nowiu, nów z twarzą
🌛	księżyc z twarzą, pierwsza kwadra, pierwsza kwadra księżyca, pierwsza kwadra księżyca z twarzą
🌝	księżyc w pełni, pełnia, pełnia z twarzą
🌞	ciepło, promienny, słońce z twarzą, uśmiech
🌟	błyszcząca, błyszcząca gwiazda, lśniąca, świecąca gwiazdka
🌠	gwiazda, kometa, spadająca, spadająca gwiazda, życzenie
🌀	cyklon, pogoda, spirala, tajfun
🌈	deszcz, pogoda, słońce, tęcza
🌂	parasolka, pogoda, złożona, złożony parasol
🔥	ogień, płomień
💧	kropelka, kropla, pot, łza
🌊	fala, fale, morze, ocean, tsunami
🎃	dynia, dynia na halloween, halloween
🎄	boże narodzenie, choinka bożonarodzeniowa, drzewko, święta
🎆	fajerwerki, nowy rok, obchody, święta
🎇	ognie, petardy, sztuczne, zimne, zimne ognie
🧨	dynamit, fajerwerki, materiał wybuchowy, petarda
✨	gwiazdki, gwiazdy
🎈	balon, impreza, uroczystość
🎉	bal, impreza, konfetti, tuba z konfetti, uroczystość
🎊	bal, impreza, konfetti, kula z konfetti, uroczystość
🎋	drzewko na Tanabata, drzewo, japońskie, tanabata, życzenia
🎍	bambus, japońska dekoracja kadomatsu, roślina, sosna
🎎	japońskie lalki, lalki
🎏	flaga, flaga w kształcie karpia, ryby
🎐	dzwonek, dzwonek wietrzny, dzwonki, wietrzny
🎑	ceremonia oglądania księżyca, księżyc, podziwiać, tsukimi
🧧	czerwona koperta, hóngbāo, lai see, pieniądze, prezent, szczęście
🎀	kokarda, kokardka, ozdoba, podarunek, prezent, wstążka
🎁	kokarda, kokardka, paczka, podarunek, zapakowany prezent
🎫	bilet, wstęp
🏅	medal, medal sportowy, nagroda
🥇	medal, medal za 1. miejsce, pierwsze miejsce, zwycięstwo, złoto
🥈	drugie miejsce, medal, medal za 2. miejsce, srebro
🥉	brąz, medal, medal za 3. miejsce, trzecie miejsce
🥎	piłka, rzut od dołu, rękawica, softball
🏀	do kosza, koszykówka, piłka
🏐	gra, piłka, siatkówka
🏈	futbol amerykański, piłka
🏉	piłka, piłka do rugby, rugby
🎾	piłka, tenis
🥏	frisbee, latający dysk, ultimate
🎳	gra, kręgle, kula
🏏	gra, kij, krykiet, piłka
🏑	boisko, gra, hokej, hokej na trawie, kijek, na trawie, piłka
🏒	gra, hokej, hokej na lodzie, kijek, krążek, lód, na lodzie
🥍	bramka, kij, lacrosse, piłka
🏓	ping pong, piłeczka, rakietka, siatka, tenis stołowy
🏸	badminton, gra, lotka, paletki, rakieta
🥊	boks, rękawica, rękawica bokserska, sport
🥋	judo, karate, sport, strój do sztuk walki, sztuki walki, taekwondo
🥅	bramka, gol, sport
🎣	wędka, złowić, łowienie ryb
🎽	bieganie, koszulka, koszulka do biegania, szarfa, t-shirt
🎿	narty, stok, śnieg
🛷	sanie
🥌	kamień do curlingu
🎯	dziesiątka, strzał, strzał w 10, trafienie, w dziesiątkę
🎱	8, bila, bila 8, kula
🔮	fortuna, kryształowa, kryształowa kula, kula, przepowiadać, wróżka, wróżyć
🧿	amulet nazar, błękitne oko, koralik, nazar, oko proroka, talizman
🎰	automat do gier, automat do gry, jednoręki bandyta, kasyno
🎲	gra, kostka, kostka do gry, w kości
🧩	element, element układanki, puzzle, łamigłówka, łączenie
🧸	miś pluszowy, pluszowa, wypchana, zabawka
🃏	Joker, dżoker, karta, karta do gry
🎴	gra, gra karciana hanafuda, japońska, kwiat
🎨	farby, kolory, malarz, muzeum, paleta malarska, sztuka
🧵	igła, nawlekać, nić, szpulka, szycie
