,	ticcert
👩🏻‍🤝‍👨🏼	taglimt taceɛlalt, tagwlimt taceɛlalt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt taceɛlalt, tagwlimt taceɛlalt talemmast
👩🏻‍🤝‍👨🏽	taglimt taceɛlalt, taglimt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt taceɛlalt, taglimt talemmast
👩🏻‍🤝‍👨🏾	taglimt taceɛlalt, taglimt tubrikt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt taceɛlalt, taglimt tubrikt talemmast
👩🏻‍🤝‍👨🏿	taglimt taceɛlalt, taglimt tubrikt, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt taceɛlalt, taglimt tubrikt
👩🏼‍🤝‍👨🏻	taglimt taceɛlalt, tagwlimt taceɛlalt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: tagwlimt taceɛlalt talemmast, taglimt taceɛlalt
👫🏼	tagwlimt taceɛlalt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: tagwlimt taceɛlalt talemmast
👩🏼‍🤝‍👨🏽	taglimt talemmast, tagwlimt taceɛlalt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: tagwlimt taceɛlalt talemmast, taglimt talemmast
👩🏼‍🤝‍👨🏾	taglimt tubrikt talemmast, tagwlimt taceɛlalt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: tagwlimt taceɛlalt talemmast, taglimt tubrikt talemmast
👩🏼‍🤝‍👨🏿	taglimt tubrikt, tagwlimt taceɛlalt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: tagwlimt taceɛlalt talemmast, taglimt tubrikt
👩🏽‍🤝‍👨🏻	taglimt taceɛlalt, taglimt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt talemmast, taglimt taceɛlalt
👩🏽‍🤝‍👨🏼	taglimt talemmast, tagwlimt taceɛlalt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt talemmast, tagwlimt taceɛlalt talemmast
👫🏽	taglimt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt talemmast
👩🏽‍🤝‍👨🏾	taglimt talemmast, taglimt tubrikt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt talemmast, taglimt tubrikt talemmast
👩🏽‍🤝‍👨🏿	taglimt talemmast, taglimt tubrikt, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt talemmast, taglimt tubrikt
👩🏾‍🤝‍👨🏻	taglimt taceɛlalt, taglimt tubrikt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt tubrikt talemmast, taglimt taceɛlalt
👩🏾‍🤝‍👨🏼	taglimt tubrikt talemmast, tagwlimt taceɛlalt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt tubrikt talemmast, tagwlimt taceɛlalt talemmast
👩🏾‍🤝‍👨🏽	taglimt talemmast, taglimt tubrikt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt tubrikt talemmast, taglimt talemmast
👫🏾	taglimt tubrikt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt tubrikt talemmast
👩🏾‍🤝‍👨🏿	taglimt tubrikt, taglimt tubrikt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt tubrikt talemmast, taglimt tubrikt
👩🏿‍🤝‍👨🏻	taglimt taceɛlalt, taglimt tubrikt, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt tubrikt, taglimt taceɛlalt
👩🏿‍🤝‍👨🏼	taglimt tubrikt, tagwlimt taceɛlalt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt tubrikt, tagwlimt taceɛlalt talemmast
👩🏿‍🤝‍👨🏽	taglimt talemmast, taglimt tubrikt, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt tubrikt, taglimt talemmast
👩🏿‍🤝‍👨🏾	taglimt tubrikt, taglimt tubrikt talemmast, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt tubrikt, taglimt tubrikt talemmast
👫🏿	taglimt tubrikt, tameṭṭut d urgaz myuṭṭafen ifassen, tameṭṭut d urgaz myuṭṭafen ifassen: taglimt tubrikt
👬	irgazen myuṭṭafen ifassen
👬🏻	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt taceɛlalt, taglimt taceɛlalt
👨🏻‍🤝‍👨🏼	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt taceɛlalt, tagwlimt taceɛlalt talemmast, taglimt taceɛlalt, tagwlimt taceɛlalt talemmast
👨🏻‍🤝‍👨🏽	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt taceɛlalt, taglimt talemmast, taglimt taceɛlalt, taglimt talemmast
👨🏻‍🤝‍👨🏾	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt taceɛlalt, taglimt tubrikt talemmast, taglimt taceɛlalt, taglimt tubrikt talemmast
👨🏻‍🤝‍👨🏿	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt taceɛlalt, taglimt tubrikt, taglimt taceɛlalt, taglimt tubrikt
👨🏼‍🤝‍👨🏻	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: tagwlimt taceɛlalt talemmast, taglimt taceɛlalt, taglimt taceɛlalt, tagwlimt taceɛlalt talemmast
👬🏼	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: tagwlimt taceɛlalt talemmast, tagwlimt taceɛlalt talemmast
👨🏼‍🤝‍👨🏽	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: tagwlimt taceɛlalt talemmast, taglimt talemmast, taglimt talemmast, tagwlimt taceɛlalt talemmast
👨🏼‍🤝‍👨🏾	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: tagwlimt taceɛlalt talemmast, taglimt tubrikt talemmast, taglimt tubrikt talemmast, tagwlimt taceɛlalt talemmast
👨🏼‍🤝‍👨🏿	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: tagwlimt taceɛlalt talemmast, taglimt tubrikt, taglimt tubrikt, tagwlimt taceɛlalt talemmast
👨🏽‍🤝‍👨🏻	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt talemmast, taglimt taceɛlalt, taglimt taceɛlalt, taglimt talemmast
👨🏽‍🤝‍👨🏼	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt talemmast, tagwlimt taceɛlalt talemmast, taglimt talemmast, tagwlimt taceɛlalt talemmast
👬🏽	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt talemmast, taglimt talemmast
👨🏽‍🤝‍👨🏾	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt talemmast, taglimt tubrikt talemmast, taglimt talemmast, taglimt tubrikt talemmast
👨🏽‍🤝‍👨🏿	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt talemmast, taglimt tubrikt, taglimt talemmast, taglimt tubrikt
👨🏾‍🤝‍👨🏻	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt tubrikt talemmast, taglimt taceɛlalt, taglimt taceɛlalt, taglimt tubrikt talemmast
👨🏾‍🤝‍👨🏼	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt tubrikt talemmast, tagwlimt taceɛlalt talemmast, taglimt tubrikt talemmast, tagwlimt taceɛlalt talemmast
👨🏾‍🤝‍👨🏽	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt tubrikt talemmast, taglimt talemmast, taglimt talemmast, taglimt tubrikt talemmast
👬🏾	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt tubrikt talemmast, taglimt tubrikt talemmast
👨🏾‍🤝‍👨🏿	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt tubrikt talemmast, taglimt tubrikt, taglimt tubrikt, taglimt tubrikt talemmast
👨🏿‍🤝‍👨🏻	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt tubrikt, taglimt taceɛlalt, taglimt taceɛlalt, taglimt tubrikt
👨🏿‍🤝‍👨🏼	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt tubrikt, tagwlimt taceɛlalt talemmast, taglimt tubrikt, tagwlimt taceɛlalt talemmast
👨🏿‍🤝‍👨🏽	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt tubrikt, taglimt talemmast, taglimt talemmast, taglimt tubrikt
👨🏿‍🤝‍👨🏾	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt tubrikt, taglimt tubrikt talemmast, taglimt tubrikt, taglimt tubrikt talemmast
👬🏿	irgazen myuṭṭafen ifassen, irgazen myuṭṭafen ifassen: taglimt tubrikt, taglimt tubrikt
💑	tayuga s wul
💑🏻	taglimt taceɛlalt, tayuga s wul, tayuga s wul: taglimt taceɛlalt
💑🏼	tagwlimt taceɛlalt talemmast, tayuga s wul, tayuga s wul: tagwlimt taceɛlalt talemmast
💑🏽	taglimt talemmast, tayuga s wul, tayuga s wul: taglimt talemmast
💑🏾	taglimt tubrikt talemmast, tayuga s wul, tayuga s wul: taglimt tubrikt talemmast
💑🏿	taglimt tubrikt, tayuga s wul, tayuga s wul: taglimt tubrikt
👩‍❤‍👨	argaz, tameṭṭut, tayuga s wul, tayuga s wul: tameṭṭut, argaz
👨‍❤‍👨	argaz, tayuga s wul, tayuga s wul: argaz, argaz
👩‍❤‍👩	tameṭṭut, tayuga s wul, tayuga s wul: tameṭṭut, tameṭṭut
👪️	tawacult
👨‍👩‍👦	aqcic, argaz, tameṭṭut, tawacult, tawacult: argaz, tameṭṭut, aqcic
👨‍👩‍👧	argaz, tameṭṭut, taqcict, tawacult, tawacult: argaz, tameṭṭut, taqcict
👨‍👩‍👧‍👦	aqcic, argaz, tameṭṭut, taqcict, tawacult, tawacult: argaz, tameṭṭut, taqcict, aqcic
👨‍👩‍👦‍👦	aqcic, argaz, tameṭṭut, tawacult, tawacult: argaz, tameṭṭut, aqcic, aqcic
👨‍👩‍👧‍👧	argaz, tameṭṭut, taqcict, tawacult, tawacult: argaz, tameṭṭut, taqcict, taqcict
👨‍👨‍👦	aqcic, argaz, tawacult, tawacult: argaz, argaz, aqcic
👨‍👨‍👧	argaz, taqcict, tawacult, tawacult: argaz, argaz, taqcict
👨‍👨‍👧‍👦	aqcic, argaz, taqcict, tawacult, tawacult: argaz, argaz, taqcict, aqcic
👨‍👨‍👦‍👦	aqcic, argaz, tawacult, tawacult: argaz, argaz, aqcic, aqcic
👨‍👨‍👧‍👧	argaz, taqcict, tawacult, tawacult: argaz, argaz, taqcict, taqcict
👩‍👩‍👦	aqcic, tameṭṭut, tawacult, tawacult: tameṭṭut, tameṭṭut, aqcic
👩‍👩‍👧	tameṭṭut, taqcict, tawacult, tawacult: tameṭṭut, tameṭṭut, taqcict
👩‍👩‍👧‍👦	aqcic, tameṭṭut, taqcict, tawacult, tawacult: tameṭṭut, tameṭṭut, taqcict, aqcic
👩‍👩‍👦‍👦	aqcic, tameṭṭut, tawacult, tawacult: tameṭṭut, tameṭṭut, aqcic, aqcic
👩‍👩‍👧‍👧	tameṭṭut, taqcict, tawacult, tawacult: tameṭṭut, tameṭṭut, taqcict, taqcict
👨‍👦	aqcic, argaz, tawacult, tawacult: argaz, aqcic
👨‍👦‍👦	aqcic, argaz, tawacult, tawacult: argaz, aqcic, aqcic
👨‍👧	argaz, taqcict, tawacult, tawacult: argaz, taqcict
👨‍👧‍👦	aqcic, argaz, taqcict, tawacult, tawacult: argaz, taqcict, aqcic
👨‍👧‍👧	argaz, taqcict, tawacult, tawacult: argaz, taqcict, taqcict
👩‍👦	aqcic, tameṭṭut, tawacult, tawacult: tameṭṭut, aqcic
👩‍👦‍👦	aqcic, tameṭṭut, tawacult, tawacult: tameṭṭut, aqcic, aqcic
👩‍👧	tameṭṭut, taqcict, tawacult, tawacult: tameṭṭut, taqcict
👩‍👧‍👦	aqcic, tameṭṭut, taqcict, tawacult, tawacult: tameṭṭut, taqcict, aqcic
👩‍👧‍👧	tameṭṭut, taqcict, tawacult, tawacult: tameṭṭut, taqcict, taqcict
🗣️	aqerru yettmeslayen
🫂	imdanen ttemsalamen
👣	lǧerra n yiḍarren
🦰	acekkuḥ azeggaɣ
🦱	acekkuḥ akerṭuṭfan
🦳	acekkuḥ amellal
🦲	aferḍas
🐵	adaqum n yibki
🐒	ibki
🦍	aguril
🦧	amdan n teẓgi
🐶	udem n uydi
🐕️	aydi
🦮	aydi amaway
🐩	akanic
🐺	aguleh
🦊	abaraɣ
🦝	arakun
🐱	udem n umcic
🐈️	amcic
🐯	udem n uɣilas
🐅	aɣilas
🐆	agiw
🐴	udem n uɛewdiw
🐎	aɛewdiw
🦄	bu yiwen n yiccew
🦓	aɣyul n teẓgi
🦌	tizerzert
🦬	aramul n marikan
🐮	udem n tfunast
🐂	azger
🐃	alebbic n waman
🐄	tafunast
🐷	aqadum n uḥelluf
🐖	aḥelluf
🐗	ilef
🐽	tinzarin n uḥelluf
🐏	akrar
🐑	tixsi
🐐	taɣaṭ
🐪	alɣem
🐫	alɣem bu snat n tkeɛrurin
🦙	alama
🦒	amdeɣ
🐘	ilu
🦣	amamut
🦏	arinusirus
🦛	apuputam
🐭	aqadum n uɣerda
🐁	aɣerda
🐀	ṭubba
🐹	ahamester
🐰	udem n uwtul
🐇	awtul
🐿️	tadɣaɣat
🦫	akastur
🦔	inisi
🦇	azuɣnennay
🐻	ursu
🐨	akwala
🐼	apanda
🦥	Asellaw
🦦	aselḍ aman
🦘	akanguru
🦡	isirru
🐾	tirekkiḍin n yiḍarren
🦃	adandu
🐔	tayaziḍt
🐓	ayaziḍ
🐣	acewcew yefrurxen
🐤	acewcew
🐥	afellus si zdat
🐦️	agḍiḍ
🐧	ameddul
🕊️	itbir
🦅	lbaz
🦆	abṛik
🦢	iblireǧ
🦉	bururu
🦤	adudu
🪶	taricet
🦩	aflaminku
🦚	afrux n ṭawes
🦜	babaɣayu
🐸	imqerqer
🐊	aɣucaf
🐢	ifker
🦎	tata
🐍	azrem
🐲	udem n udragu
🐉	adragu
🦕	aṣurupud
🦖	T-Reks
🐳	tizmekt i d-yessufuɣen aman
🐋	tizmekt
🐬	addenfil
🦭	Aydi n waman
🐟️	aslem
🐡	aslem icuffen
🦈	awqas
🐙	iqirniḍ
🐚	ajeɣlal yennḍen
🪸	lmerǧan
🐌	aεarus
🦋	aferteṭṭu
🐛	aburbu
🐜	taweṭṭuft
🐝	tizizwit
🪲	axunefsiw
🐞	takumda
🦗	ajṛad
🪳	akafaṛ
🕷️	tissist
🕸️	azeṭṭa n tissist
🦟	tizit
🪰	izi
🪱	ijirmeḍ
🦠	amikṛub
💐	tameqqunt
🌸	ajeğğig n taknisya
💮	ajeğğig amellal
🪷	abelbaquc
🏵️	tawerdit
🌹	tawerdet
🥀	ajeğğig akiwan
🌺	tibinṣert
🌻	magriṭij
🌼	amgud
🌷	taxlult n nnbi
🌱	imɣi aleqqaq
🪴	imɣi deg uḥibus
🌲	aseklu s yifer imezgi
🌳	aseklu bu yifer
🌴	tazdayt
🌵	tasiɣawt
🌾	taceṛṛaft n ṛṛuz
🌿	ifer
☘️	ikeffis
🍀	ikeffis bu kuẓ n wafriwen
🍁	ifer n kikeb
🍂	ifer yeɣlin
🍃	ifer yessafag waḍu
🪹	lɛec ilem
🪺	lɛec s tmellalin
🍄	tagerselt
🍇	tiẓurin
🍈	afeqqus
🍉	delleɛ
🍊	tamandarit
🍋	talimet
🍌	tabanant
🍍	tananast
🥭	tamungat
🍎	tatteffaḥt tazeggaɣt
🍏	tatteffaḥt tazegzawt
🍐	ifires
🍑	taxuxet
🍒	areḍli
🍓	tariwalt
🫐	cilmun
🥝	takiwit
🍅	taṭumaṭict
🫒	azemmur
🥥	iɣsan n koko
🥑	tavukat
🍆	patenǧal
🥔	baṭaṭa
🥕	taẓrudgat
🌽	ageṭṭuc
🌶️	ifelfel aqerḥan
🫑	ifelfel n leḥlu
🥒	ilekkel
🥬	Tidelt n iferrawen izegzawen
🥦	brukuli
🧄	tiskert
🧅	aẓalim
🥜	kawkaw
🫘	llubyan
🌰	abelluḍ n urumi
🍞	aɣrum
🥐	akarwasun
🥖	tabagiḍt n uɣrum
🫓	taḥbult n uɣrum
🥨	bretzel
🥯	abinyi
🍗	tamessaḍt n uyaziḍ
🥩	tacriḥt n uksum
🥪	aṣundwic
🥚	tamellalt
🍳	tamellalt yewwan
🍲	taqessult n tgella
🥗	cclaḍa tazegzawt
🍿	akbal icuffen
🧈	udi
🧂	tisent
🍚	rruẓ yewwan
🍝	spagiti
🍠	baṭaṭa taẓidant ikenfen
🍣	aṣuci
🦀	tifiraqest
🦐	aqemrun
🦪	idway
🍫	tabewwaḍt n ccakula
🍬	taḥlawat
🍭	tameccaḥt
🍯	tabellaṛt n tament
🍼	abibṛu
🥛	lkas n uyefki
🫖	tabaqrajt n latay
🍵	afenǧal n latay war afus
🍷	lkas n ccṛab
🍺	abuqal n tebyiṛt
🍻	asčenčen n yibuqal n tebyiṛt
🥂	asčenčen n lkisan
🧊	agris
🥢	tileqqaḍin
🍽️	tafarciḍt d lmus s uḍebsi
🍴	tafarciḍt d lmus
🥄	tijɣelt
🔪	tafruyt n usaččet
🫙	tabellaṛt
🏺	tabuqalt
🌍	amtiweg turuft tafriqt
🌎️	amtiweg timrikin
🌏	amtiweg asya ustralya
🗺️	takarḍa n umaḍal
🗾	takarḍa n Japun
🧭	tabuṣult
🏔️	adrar n udfel
⛰️	adrar
🌋	avulkan
🗻	Taqacuct Fuji
🏕️	asdar
🏖️	taftisft d ssiwan
🏜️	aneẓruf
🏝️	tigzirt taneẓruft
🏞️	amṛaḥ aɣelnaw
🏟️	annar
🏛️	amedruz aklasikan
🏗️	bennu n uzadaɣ
🧱	Tayajuṛt
🪨	ablaḍ
🪵	asɣar
🛖	atemmu
🏘️	ixxamen
🏚️	axxam yettwaḍeggren
🏠️	axxam
🏡	axxam s tmazirt
🏢	azadaɣ n tnariyin
🏣	tanazant tajapunit
🏤	tanarit n tnazant
🏥	Asegnaf
🏦	tabanka
🏨	asensu
🏩	asensu n tayri
🏪	talzuzt
🏫	aɣerbaz
🏬	taḥanut meqqren
🏭️	taneɣraft
🏯	tiɣremt tajapunit
🏰	tiɣremt
💒	tissulya
🗼	Tiɣremt n Tokyo
🗽	asebdad n tlelli
⛪️	tamezgida n yimasiḥiyen
🕌	tamezgida n yinselmen
🛕	tamesgida handu
🕍	tamezgida n wudayen
⛩️	asebdad shrine
🕋	lkaɛva
⛲️	tala
⛺️	aqiḍun
🌁	agu
🌃	iḍ s yitran
🏙️	tamdint
🌄	alluy n yiṭij ɣef yidurar
🌅	alluy n yiṭij
🌇	aɣelluy n yiṭij
🌉	tiqenṭert deg yiḍ
♨️	lḥemmam
🚂	aqerru n tmacint
🚃	abrid n tmacint
🚇️	amitṛu
🚈	amitru afess
🚓	Takerrust n temsulta
🚕	Ataksi
🚗	Takerrust
🛹	Avilu
🚨	Taftilt n tkerrust n tmsulta
✈️	asafag
🛩️	asafag ameẓyan
💺	tasɣimt
🚁	talikuptirt
🛰️	Aṣatilit
🚀	tallunt
🛸	taɣawsa tarussint yettafgen
⌛️	tamrilt n ijdan
⏳️	tamrilt n ijdan yettmirin
⌚️	tamrilt
⏱️	amesnakud
⏲️	Asakway
🌡️	atirmumitr
☀️	iṭij
☁️	asigna
⛅️	iṭij deffir n usigna
🌤️	asigna, iṭij
🌫️	tagut
🌈	tislit n unẓar
🌂	ssiwan imedlen
☂️	ssiwan
☔️	ssiwan s tmeqqwa n waman
⛱️	ssiwan ɣef tmurt
⚡️	lebreq
❄️	adfel
☃️	argaz n udfel
🔥	times
💧	timeqqit
🌊	lmuja n waman
🎃	taxsayt
🎄	aseklu n nawel
🎆	asfugel
🎇	ifṭiwej
🧨	aḥerbi
✨	itran
🎈	asfugel
🧧	tabrat tazeggaɣt
🎀	asfugel
🎫	atiki
🎖️	cciɛa taserdasant
🏆️	arraz
🏅	cciɛa n waddal
🥇	cciɛa n umḍiq 1u
🥈	cciɛa n umḍiq wis 2
🥉	cciɛa n umḍiq wis 3
⚽️	ddabex n uḍar
🏓	ping pung
🏸	badminṭun
🔮	takurt n ukrisṭal
🎮️	urar n tvidyut
🀄️	azeggaɣ, mahjong, urar
🎴	takarḍa, urar
🖼️	tugna s ukatar
🪡	tisegnit n lexyaḍa
🧶	takurt n lxiḍ
👓️	tismaqqalin
🕶️	nnwaḍer n yiṭij
🥽	nnwaḍer n uḥader
🥼	tavluzt n ulabuṛatwar
🦺	ajili n tɣellist
👔	takravaḍt
👕	amayut
👖	aserwal
🧣	akackul
🧤	iqeffazen
🧥	abaltu
🧦	iqaciren
👗	taqendurt
👘	akimunu
🥻	asari
🩱	amayut n ucucef ɣef yiwen
🩲	takiluḍt
🩳	abirmida
👙	abikini
👚	iceṭṭiḍen n tlawin
👛	ṣṣak
👜	taṣakuct
👝	taxriḍt
🛍️	aḍellaɛ
🎒	ṣṣak n waɛrur
🩴	taklakiḍt
👞	iṣebbaḍen n urgaz
👟	iṣebbaḍen n tazzla
🥾	iṣebbaḍen n tikli
🥿	tibelɣatin
👠	asebbaḍ n talu ɣezzifen
👡	asundal n tlawin
🩰	isebbaḍen n ccḍeḥ
👢	abutyu n tlawin
👑	Taɛessabt n ugellid
👒	Timḍelliwt n tmeṭṭut
🎩	acapun aɣezfan
🎓️	takaskiḍt n usdawan
🧢	takaskiḍt
🪖	takaskiḍt n userdas
⛑️	akaskiḍ amidag amellal
📿	teṣbiḥ
💄	zzin aγec
💍	taxatemt
💎	aẓru ɣlayen
🔇	asusam
🔈️	imesli meẓẓiyen
🔉	imesli alemmas
🔊	imesli meqqren
📢	imsemɣer n yimesli
📣	amigafun
📯	ajewwaq ubrin
🔔	aninay
🔕	aninay yegdel
🎼	tagrumma n tezmilin n uẓawan
🎵	tazmilt taẓawant
🎶	tizmilin tiẓawanin
🎙️	asawaḍ n uxxam n usekles
🎚️	taḥnaccaḍt n uswir
🎛️	tiqeffalin n uṣeggem
🎤	asawaḍ
🎧️	Ismazgaten
📻️	rradyu
🎷	asaksufun
🪗	akudiyun
🎸	snitra
🎹	anasiw amẓawan
🪕	abanju
📱	tiliɣri tazirazt
📲	tiliɣri tazirazt s uneccab
☎️	tiliɣri
📞	imsuddes n tiliɣri
📠	tamacint n unɣel
🔋	aẓru
🪫	aẓru yeɛyan
💻️	aselkim aziraz
🖥️	aselkim n tnarit
🖨️	tasaggazt
⌨️	anasiw
🖱️	taɣerdayt n uselkim
🖲️	aselkim
💽	aḍebsi n uselkim
💾	adebṣi aleqqaq
💿️	aḍebsi asekdan
📀	dvd
🧮	abakus
🎥	takamiṛat n yisura
📽️	ameskan n yisura
📺️	tiliẓri
📷️	Takamiṛat
🕯️	tacemmuεt
📔	imedlis s tduli icebḥen
📕	adlis imedlen
📖	adlis yeldin
📗	adlis azegzaw
📘	adlis amidadi
📙	adlis ačinawi
📚️	idlisen
📓	imedlis
📒	ambellez
📃	asebter yennḍen
📜	adrurem
📄	asebter
📰	aɣmis
🗞	aɣùis yennḍen
📑	accaren n tecraḍ
🔖	tacreṭ n usebter
🏷️	tabzimt
💰️	sselfa
🪙	aṣurdi
💴	lkaɣeḍ n yen
💵	lkaɣeḍ n udular
💶	lkareḍ n uru
💷	lkaɣeḍ n upawnd
💸	idrimen s yiferrawen
💳️	takarḍa n usmad
🧾	awwaḍ
✉️	tajellabt
📧	imayl
📨	izen ukcim
📩	izen yettwazen
📤️	tanaka n tuzna
📥️	tanaka n urmas
📦️	akemmus
🗳️	asenduq
✏️	imru
✒️	imru n tricet aberkan
🖋️	imru n lmidad
🖍️	akeryun
💼	aqrab
📁	akaram n ufaylu
📂	ldi akaram n ufaylu
📅	awitay
📆	awitay yettwakksen
📋️	ɣef wafus
🔒️	yemdel
🔓️	yeldi
🔏	yemdel s yimru
🔐	yemdel s tsarut
🔑	tasarut
🗝️	tasarut taqdimt
🔨	tafḍist
🪓	tacaqurt
⛏️	agelzim
⚒️	afḍis d ugelzim
🛡️	abeckiḍ
⚙️	afecku
🔗	aseɣwen
⛓️	snesla
🧬	dna
🔬	amikruskup
🔭	atiliskup
💉	tisegnit
🩸	tiqiit n yidammen
💊	amejjay, amuḍin, tujjya
🚪	tabburt
🛏️	ameṭreḥ
🪑	akersi
🧹	imeṣleḥ
🧺	taqecwalt
🪣	abelyun
🧼	ṣṣabun
🪥	ccita n tuɣmas
🧯	imsexsi
🛒	taqecwalt n tiɣin
🚬	ageṛṛu
⚰️	nneɛc
🪦	ccahed
🪬	lxamsa
🪧	tafilt
🪪	takarḍa n timagit
🏧	tamacint n tedrimt tawurmant
🚮	tignit n yiḍumman
🚰	aman n tissit
♿️	azamul n unekcum n umeɛduṛ
🚹️	taxxamt n urgaz
🚺️	azamul n texxamt n tmeṭṭut
🚻	azamul n teslalayt
🚼️	azamul n uṭufan
🚾	taslalayt
🛂	asenqed n umsineg
🛃	tadewwant
🛄	asuter n dduzan
🛅	dduzan yettwattun
⚠️	aberri
🚸	abrid n yigerdan
⛔️	aɛeddi yegdel
🚫	yegdel
🚳	avilu yegdel
🚭️	akeyyef yegdel
🚯	ur ttḍeyyir ara iḍumman
🚱	mačči d aman n tissit
🚷	igdel i yimesḍaṛen
📵	tiliɣri n ufus tegdel
🔞	yegdel ddaw n tmenṭac
⬆️	aneccab d asawen
↗️	aneccab asawen ayeffus
➡️	aneccab ayeffus
↘️	aneccab d akesser uẓẓil
⬇️	aneccab akesser
↙️	aneccab akesser ayeffus
⬅️	aneccab azelmaḍ
↖️	aneccab asawen azelmaḍ
↕️	aneccab asawen akesser
↔️	aneccab azelmaḍ ayeffus
↩️	aneccab ayeffus yettin s azelmaḍ
↪️	aneccab azelmaḍ yettin s ayeffus
⤴️	aneccab ayeffus yettin d asawen
⤵️	aneccab ayeffus yettin d akesser
🔃	ineccaben tanila n isegnan n temrilt
🔄	taqeffalt n ineccaben n tnila yettin n isegnan n temrilt
🔙	Aneccab n tuɣalin
🔚	Aneccab n taggara
🔛	urmid
🔜	Aneccab Qrib
🔝	aneccab n ufella
🛐	amḍiq n tẓallit
⚛️	azamul n ubelkim
🕉️	om
✡️	itri n David
☸️	Rruda n dharma
☯️	yin yang
☪️	aggur d yitri
☮️	azamul n talwit
♈️	Ikerri
♉️	Aramul
