🦵🏻	جلد کی ہلکی رنگت, عضو, ٹانگ, ٹانگ: جلد کی ہلکی رنگت, ٹھوکر
🤹🏿‍♀	جلد کی سیاہ رنگت, شعبدہ باز عورت, شعبدہ باز عورت: جلد کی سیاہ رنگت, شعبدہ بازی, عورت, مداری, کھیل
👩‍❤‍💋‍👨	بوسہ, بوسہ: عورت اور مرد, جوڑا, رومانس, عورت, مرد
👨‍❤‍💋‍👨	بوسہ, بوسہ: مرد اور مرد, جوڑا, رومانس, مرد
👩‍❤‍💋‍👩	بوسہ, بوسہ: عورت اور عورت, جوڑا, رومانس, عورت
👩‍❤‍👨	جوڑا, دل, دل اور جوڑا, دل اور جوڑا: عورت اور مرد, رومانس, عورت, مرد
👨‍❤‍👨	جوڑا, دل, دل اور جوڑا, دل اور جوڑا: مرد اور مرد, رومانس, مرد
👩‍❤‍👩	جوڑا, دل, دل اور جوڑا, دل اور جوڑا: عورت اور عورت, رومانس, عورت
👨‍👩‍👦	باپ, بچہ, خاندان, خاندان: مرد، عورت، اور لڑکا, عورت, لڑکا, ماں, مرد
👨‍👩‍👧	باپ, بچہ, خاندان, خاندان: مرد، عورت، اور لڑکی, عورت, لڑکی, ماں, مرد
👨‍👩‍👧‍👦	باپ, بچہ, خاندان, خاندان: مرد، عورت، لڑکی، اور لڑکا, عورت, لڑکا, لڑکی, ماں, مرد
👨‍👩‍👦‍👦	باپ, بچہ, خاندان, خاندان: مرد، عورت، لڑکا، اور لڑکا, عورت, لڑکا, ماں, مرد
👨‍👩‍👧‍👧	باپ, بچہ, خاندان, خاندان: مرد، عورت، لڑکی، اور لڑکی, عورت, لڑکی, ماں, مرد
👨‍👨‍👦	باپ, بچہ, خاندان, خاندان: مرد، مرد، اور لڑکا, لڑکا, ماں, مرد
👨‍👨‍👧	باپ, بچہ, خاندان, خاندان: مرد، مرد، اور لڑکی, لڑکی, ماں, مرد
👨‍👨‍👧‍👦	باپ, بچہ, خاندان, خاندان: مرد، مرد، لڑکی، اور لڑکا, لڑکا, لڑکی, ماں, مرد
👨‍👨‍👦‍👦	باپ, بچہ, خاندان, خاندان: مرد، مرد، لڑکا، اور لڑکا, لڑکا, ماں, مرد
👨‍👨‍👧‍👧	باپ, بچہ, خاندان, خاندان: مرد، مرد، لڑکی، اور لڑکی, لڑکی, ماں, مرد
👩‍👩‍👦	باپ, بچہ, خاندان, خاندان: عورت، عورت، اور لڑکا, عورت, لڑکا, ماں
👩‍👩‍👧	باپ, بچہ, خاندان, خاندان: عورت، عورت، اور لڑکی, عورت, لڑکی, ماں
👩‍👩‍👧‍👦	باپ, بچہ, خاندان, خاندان: عورت، عورت، لڑکی، اور لڑکا, عورت, لڑکا, لڑکی, ماں
👩‍👩‍👦‍👦	باپ, بچہ, خاندان, خاندان: عورت، عورت، لڑکا، اور لڑکا, عورت, لڑکا, ماں
👩‍👩‍👧‍👧	باپ, بچہ, خاندان, خاندان: عورت، عورت، لڑکی، اور لڑکی, عورت, لڑکی, ماں
👨‍👦	باپ, بچہ, خاندان, خاندان: مرد اور لڑکا, لڑکا, ماں, مرد
👨‍👦‍👦	باپ, بچہ, خاندان, خاندان: مرد، لڑکا، اور لڑکا, لڑکا, ماں, مرد
👨‍👧	باپ, بچہ, خاندان, خاندان: مرد اور لڑکی, لڑکی, ماں, مرد
👨‍👧‍👦	باپ, بچہ, خاندان, خاندان: مرد، لڑکی، اور لڑکا, لڑکا, لڑکی, ماں, مرد
👨‍👧‍👧	باپ, بچہ, خاندان, خاندان: مرد، لڑکی، اور لڑکی, لڑکی, ماں, مرد
👩‍👦	باپ, بچہ, خاندان, خاندان: عورت اور لڑکا, عورت, لڑکا, ماں
👩‍👦‍👦	باپ, بچہ, خاندان, خاندان: عورت، لڑکا، اور لڑکا, عورت, لڑکا, ماں
👩‍👧	باپ, بچہ, خاندان, خاندان: عورت اور لڑکی, عورت, لڑکی, ماں
👩‍👧‍👦	باپ, بچہ, خاندان, خاندان: عورت، لڑکی، اور لڑکا, عورت, لڑکا, لڑکی, ماں
👩‍👧‍👧	باپ, بچہ, خاندان, خاندان: عورت، لڑکی، اور لڑکی, عورت, لڑکی, ماں
🤳🏻	تصویر, جلد کی ہلکی رنگت, سیلفی, سیلفی: جلد کی ہلکی رنگت, فون, کیمرہ
🤳🏼	تصویر, جلد کی درمیانی -ہلکی رنگت, سیلفی, سیلفی: جلد کی درمیانی -ہلکی رنگت, فون, کیمرہ
🤳🏽	تصویر, جلد کی درمیانی رنگت, سیلفی, سیلفی: جلد کی درمیانی رنگت, فون, کیمرہ
🤳🏾	تصویر, جلد کی درمیانی سیاہ رنگت, سیلفی, سیلفی: جلد کی درمیانی سیاہ رنگت, فون, کیمرہ
🤳🏿	تصویر, جلد کی سیاہ رنگت, سیلفی, سیلفی: جلد کی سیاہ رنگت, فون, کیمرہ
💪🏻	بازوؤں کے ڈولے, بازوؤں کے ڈولے: جلد کی ہلکی رنگت, جسم, جلد کی ہلکی رنگت, ڈولے
💪🏼	بازوؤں کے ڈولے, بازوؤں کے ڈولے: جلد کی درمیانی -ہلکی رنگت, جسم, جلد کی درمیانی -ہلکی رنگت, ڈولے
💪🏽	بازوؤں کے ڈولے, بازوؤں کے ڈولے: جلد کی درمیانی رنگت, جسم, جلد کی درمیانی رنگت, ڈولے
💪🏾	بازوؤں کے ڈولے, بازوؤں کے ڈولے: جلد کی درمیانی سیاہ رنگت, جسم, جلد کی درمیانی سیاہ رنگت, ڈولے
💪🏿	بازوؤں کے ڈولے, بازوؤں کے ڈولے: جلد کی سیاہ رنگت, جسم, جلد کی سیاہ رنگت, ڈولے
👈🏻	انگلی, بائیں, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی ہلکی رنگت, جسم, جلد کی ہلکی رنگت, ہاتھ
👈🏼	انگلی, بائیں, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی -ہلکی رنگت, جسم, جلد کی درمیانی -ہلکی رنگت, ہاتھ
👈🏽	انگلی, بائیں, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی رنگت, جسم, جلد کی درمیانی رنگت, ہاتھ
👈🏾	انگلی, بائیں, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی سیاہ رنگت, جسم, جلد کی درمیانی سیاہ رنگت, ہاتھ
👈🏿	انگلی, بائیں, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, بائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی سیاہ رنگت, جسم, جلد کی سیاہ رنگت, ہاتھ
👉🏻	انگلی, جسم, جلد کی ہلکی رنگت, دائیں, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی ہلکی رنگت, ہاتھ
👉🏼	انگلی, جسم, جلد کی درمیانی -ہلکی رنگت, دائیں, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی -ہلکی رنگت, ہاتھ
👉🏽	انگلی, جسم, جلد کی درمیانی رنگت, دائیں, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی رنگت, ہاتھ
👉🏾	انگلی, جسم, جلد کی درمیانی سیاہ رنگت, دائیں, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی سیاہ رنگت, ہاتھ
👉🏿	انگلی, جسم, جلد کی سیاہ رنگت, دائیں, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی, دائیں اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی سیاہ رنگت, ہاتھ
☝🏻	انگلی, اوپر, اوپر اشارہ کرتی شہادت کی انگلی, اوپر اشارہ کرتی شہادت کی انگلی: جلد کی ہلکی رنگت, جسم, جلد کی ہلکی رنگت, ہاتھ
☝🏼	انگلی, اوپر, اوپر اشارہ کرتی شہادت کی انگلی, اوپر اشارہ کرتی شہادت کی انگلی: جلد کی درمیانی -ہلکی رنگت, جسم, جلد کی درمیانی -ہلکی رنگت, ہاتھ
☝🏽	انگلی, اوپر, اوپر اشارہ کرتی شہادت کی انگلی, اوپر اشارہ کرتی شہادت کی انگلی: جلد کی درمیانی رنگت, جسم, جلد کی درمیانی رنگت, ہاتھ
☝🏾	انگلی, اوپر, اوپر اشارہ کرتی شہادت کی انگلی, اوپر اشارہ کرتی شہادت کی انگلی: جلد کی درمیانی سیاہ رنگت, جسم, جلد کی درمیانی سیاہ رنگت, ہاتھ
☝🏿	انگلی, اوپر, اوپر اشارہ کرتی شہادت کی انگلی, اوپر اشارہ کرتی شہادت کی انگلی: جلد کی سیاہ رنگت, جسم, جلد کی سیاہ رنگت, ہاتھ
👆🏻	اوپر, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی ہلکی رنگت, جسم, جلد کی ہلکی رنگت, شہادت کی انگلی, ہاتھ
👆🏼	اوپر, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی -ہلکی رنگت, جسم, جلد کی درمیانی -ہلکی رنگت, شہادت کی انگلی, ہاتھ
👆🏽	اوپر, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی رنگت, جسم, جلد کی درمیانی رنگت, شہادت کی انگلی, ہاتھ
👆🏾	اوپر, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی سیاہ رنگت, جسم, جلد کی درمیانی سیاہ رنگت, شہادت کی انگلی, ہاتھ
👆🏿	اوپر, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی, اوپر اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی سیاہ رنگت, جسم, جلد کی سیاہ رنگت, شہادت کی انگلی, ہاتھ
🖕🏻	جسم, جلد کی ہلکی رنگت, درمیانی انگلی, درمیانی انگلی: جلد کی ہلکی رنگت, ہاتھ
🖕🏼	جسم, جلد کی درمیانی -ہلکی رنگت, درمیانی انگلی, درمیانی انگلی: جلد کی درمیانی -ہلکی رنگت, ہاتھ
🖕🏽	جسم, جلد کی درمیانی رنگت, درمیانی انگلی, درمیانی انگلی: جلد کی درمیانی رنگت, ہاتھ
🖕🏾	جسم, جلد کی درمیانی سیاہ رنگت, درمیانی انگلی, درمیانی انگلی: جلد کی درمیانی سیاہ رنگت, ہاتھ
🖕🏿	جسم, جلد کی سیاہ رنگت, درمیانی انگلی, درمیانی انگلی: جلد کی سیاہ رنگت, ہاتھ
👇🏻	جسم, جلد کی ہلکی رنگت, شہادت کی انگلی, نیچے, نیچے اشارہ کرتی بیک ہینڈ شہادت کی انگلی, نیچے اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی ہلکی رنگت, ہاتھ
👇🏼	جسم, جلد کی درمیانی -ہلکی رنگت, شہادت کی انگلی, نیچے, نیچے اشارہ کرتی بیک ہینڈ شہادت کی انگلی, نیچے اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی -ہلکی رنگت, ہاتھ
👇🏽	جسم, جلد کی درمیانی رنگت, شہادت کی انگلی, نیچے, نیچے اشارہ کرتی بیک ہینڈ شہادت کی انگلی, نیچے اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی رنگت, ہاتھ
👇🏾	جسم, جلد کی درمیانی سیاہ رنگت, شہادت کی انگلی, نیچے, نیچے اشارہ کرتی بیک ہینڈ شہادت کی انگلی, نیچے اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی درمیانی سیاہ رنگت, ہاتھ
👇🏿	جسم, جلد کی سیاہ رنگت, شہادت کی انگلی, نیچے, نیچے اشارہ کرتی بیک ہینڈ شہادت کی انگلی, نیچے اشارہ کرتی بیک ہینڈ شہادت کی انگلی: جلد کی سیاہ رنگت, ہاتھ
✌🏻	جسم, جلد کی ہلکی رنگت, فتح, فتح کا نشان بناتا ہاتھ, فتح کا نشان بناتا ہاتھ: جلد کی ہلکی رنگت, نشان, ہاتھ
✌🏼	جسم, جلد کی درمیانی -ہلکی رنگت, فتح, فتح کا نشان بناتا ہاتھ, فتح کا نشان بناتا ہاتھ: جلد کی درمیانی -ہلکی رنگت, نشان, ہاتھ
✌🏽	جسم, جلد کی درمیانی رنگت, فتح, فتح کا نشان بناتا ہاتھ, فتح کا نشان بناتا ہاتھ: جلد کی درمیانی رنگت, نشان, ہاتھ
✌🏾	جسم, جلد کی درمیانی سیاہ رنگت, فتح, فتح کا نشان بناتا ہاتھ, فتح کا نشان بناتا ہاتھ: جلد کی درمیانی سیاہ رنگت, نشان, ہاتھ
✌🏿	جسم, جلد کی سیاہ رنگت, فتح, فتح کا نشان بناتا ہاتھ, فتح کا نشان بناتا ہاتھ: جلد کی سیاہ رنگت, نشان, ہاتھ
🤞🏻	امید, انگلی, جلد کی ہلکی رنگت, قسمت, کراس, کراس بناتی انگلیاں, کراس بناتی انگلیاں: جلد کی ہلکی رنگت
🤞🏼	امید, انگلی, جلد کی درمیانی -ہلکی رنگت, قسمت, کراس, کراس بناتی انگلیاں, کراس بناتی انگلیاں: جلد کی درمیانی -ہلکی رنگت
🤞🏽	امید, انگلی, جلد کی درمیانی رنگت, قسمت, کراس, کراس بناتی انگلیاں, کراس بناتی انگلیاں: جلد کی درمیانی رنگت
🤞🏾	امید, انگلی, جلد کی درمیانی سیاہ رنگت, قسمت, کراس, کراس بناتی انگلیاں, کراس بناتی انگلیاں: جلد کی درمیانی سیاہ رنگت
🤞🏿	امید, انگلی, جلد کی سیاہ رنگت, قسمت, کراس, کراس بناتی انگلیاں, کراس بناتی انگلیاں: جلد کی سیاہ رنگت
🖖🏻	انگلی, اَتش فشاں, جسم, جلد کی ہلکی رنگت, وولکن سلیوٹ, وولکن سلیوٹ: جلد کی ہلکی رنگت, ہاتھ
🖖🏼	انگلی, اَتش فشاں, جسم, جلد کی درمیانی -ہلکی رنگت, وولکن سلیوٹ, وولکن سلیوٹ: جلد کی درمیانی -ہلکی رنگت, ہاتھ
🖖🏽	انگلی, اَتش فشاں, جسم, جلد کی درمیانی رنگت, وولکن سلیوٹ, وولکن سلیوٹ: جلد کی درمیانی رنگت, ہاتھ
🖖🏾	انگلی, اَتش فشاں, جسم, جلد کی درمیانی سیاہ رنگت, وولکن سلیوٹ, وولکن سلیوٹ: جلد کی درمیانی سیاہ رنگت, ہاتھ
🖖🏿	انگلی, اَتش فشاں, جسم, جلد کی سیاہ رنگت, وولکن سلیوٹ, وولکن سلیوٹ: جلد کی سیاہ رنگت, ہاتھ
🤘🏻	انگلی, جسم, جلد کی ہلکی رنگت, سینگ, ہاتھ, ہاتھ سے سینگوں کا نشان, ہاتھ سے سینگوں کا نشان: جلد کی ہلکی رنگت
🤘🏼	انگلی, جسم, جلد کی درمیانی -ہلکی رنگت, سینگ, ہاتھ, ہاتھ سے سینگوں کا نشان, ہاتھ سے سینگوں کا نشان: جلد کی درمیانی -ہلکی رنگت
🤘🏽	انگلی, جسم, جلد کی درمیانی رنگت, سینگ, ہاتھ, ہاتھ سے سینگوں کا نشان, ہاتھ سے سینگوں کا نشان: جلد کی درمیانی رنگت
🤘🏾	انگلی, جسم, جلد کی درمیانی سیاہ رنگت, سینگ, ہاتھ, ہاتھ سے سینگوں کا نشان, ہاتھ سے سینگوں کا نشان: جلد کی درمیانی سیاہ رنگت
🤘🏿	انگلی, جسم, جلد کی سیاہ رنگت, سینگ, ہاتھ, ہاتھ سے سینگوں کا نشان, ہاتھ سے سینگوں کا نشان: جلد کی سیاہ رنگت
🤙🏻	اشارہ, جلد کی ہلکی رنگت, کال, کال کرنے کا اشارہ, کال کرنے کا اشارہ: جلد کی ہلکی رنگت, ہاتھ
🤙🏼	اشارہ, جلد کی درمیانی -ہلکی رنگت, کال, کال کرنے کا اشارہ, کال کرنے کا اشارہ: جلد کی درمیانی -ہلکی رنگت, ہاتھ
🤙🏽	اشارہ, جلد کی درمیانی رنگت, کال, کال کرنے کا اشارہ, کال کرنے کا اشارہ: جلد کی درمیانی رنگت, ہاتھ
🤙🏾	اشارہ, جلد کی درمیانی سیاہ رنگت, کال, کال کرنے کا اشارہ, کال کرنے کا اشارہ: جلد کی درمیانی سیاہ رنگت, ہاتھ
🤙🏿	اشارہ, جلد کی سیاہ رنگت, کال, کال کرنے کا اشارہ, کال کرنے کا اشارہ: جلد کی سیاہ رنگت, ہاتھ
🖐🏻	انگلی, جسم, جلد کی ہلکی رنگت, پھیلانا, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی ہلکی رنگت, ہاتھ
🖐🏼	انگلی, جسم, جلد کی درمیانی -ہلکی رنگت, پھیلانا, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی درمیانی -ہلکی رنگت, ہاتھ
🖐🏽	انگلی, جسم, جلد کی درمیانی رنگت, پھیلانا, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی درمیانی رنگت, ہاتھ
🖐🏾	انگلی, جسم, جلد کی درمیانی سیاہ رنگت, پھیلانا, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی درمیانی سیاہ رنگت, ہاتھ
🖐🏿	انگلی, جسم, جلد کی سیاہ رنگت, پھیلانا, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی سیاہ رنگت, ہاتھ
✋🏻	بلند ہاتھ, بلند ہاتھ: جلد کی ہلکی رنگت, جسم, جلد کی ہلکی رنگت, ہاتھ
✋🏼	بلند ہاتھ, بلند ہاتھ: جلد کی درمیانی -ہلکی رنگت, جسم, جلد کی درمیانی -ہلکی رنگت, ہاتھ
✋🏽	بلند ہاتھ, بلند ہاتھ: جلد کی درمیانی رنگت, جسم, جلد کی درمیانی رنگت, ہاتھ
✋🏾	بلند ہاتھ, بلند ہاتھ: جلد کی درمیانی سیاہ رنگت, جسم, جلد کی درمیانی سیاہ رنگت, ہاتھ
✋🏿	بلند ہاتھ, بلند ہاتھ: جلد کی سیاہ رنگت, جسم, جلد کی سیاہ رنگت, ہاتھ
👌🏻	اوکے, اوکے کا نشان بناتا ہاتھ, اوکے کا نشان بناتا ہاتھ: جلد کی ہلکی رنگت, جسم, جلد کی ہلکی رنگت, نشان, ہاتھ
👌🏼	اوکے, اوکے کا نشان بناتا ہاتھ, اوکے کا نشان بناتا ہاتھ: جلد کی درمیانی -ہلکی رنگت, جسم, جلد کی درمیانی -ہلکی رنگت, نشان, ہاتھ
👌🏽	اوکے, اوکے کا نشان بناتا ہاتھ, اوکے کا نشان بناتا ہاتھ: جلد کی درمیانی رنگت, جسم, جلد کی درمیانی رنگت, نشان, ہاتھ
👌🏾	اوکے, اوکے کا نشان بناتا ہاتھ, اوکے کا نشان بناتا ہاتھ: جلد کی درمیانی سیاہ رنگت, جسم, جلد کی درمیانی سیاہ رنگت, نشان, ہاتھ
👌🏿	اوکے, اوکے کا نشان بناتا ہاتھ, اوکے کا نشان بناتا ہاتھ: جلد کی سیاہ رنگت, جسم, جلد کی سیاہ رنگت, نشان, ہاتھ
👍🏻	انگوٹھا, اوپر, جسم, جلد کی ہلکی رنگت, سب اچھا کا نشان بناتا انگوٹھا, سب اچھا کا نشان بناتا انگوٹھا: جلد کی ہلکی رنگت, ہاتھ
👍🏼	انگوٹھا, اوپر, جسم, جلد کی درمیانی -ہلکی رنگت, سب اچھا کا نشان بناتا انگوٹھا, سب اچھا کا نشان بناتا انگوٹھا: جلد کی درمیانی -ہلکی رنگت, ہاتھ
👍🏽	انگوٹھا, اوپر, جسم, جلد کی درمیانی رنگت, سب اچھا کا نشان بناتا انگوٹھا, سب اچھا کا نشان بناتا انگوٹھا: جلد کی درمیانی رنگت, ہاتھ
👍🏾	انگوٹھا, اوپر, جسم, جلد کی درمیانی سیاہ رنگت, سب اچھا کا نشان بناتا انگوٹھا, سب اچھا کا نشان بناتا انگوٹھا: جلد کی درمیانی سیاہ رنگت, ہاتھ
👍🏿	انگوٹھا, اوپر, جسم, جلد کی سیاہ رنگت, سب اچھا کا نشان بناتا انگوٹھا, سب اچھا کا نشان بناتا انگوٹھا: جلد کی سیاہ رنگت, ہاتھ
👎🏻	انگوٹھا, اچھا نہ ہونے کا نشان بناتا انگوٹھا, اچھا نہ ہونے کا نشان بناتا انگوٹھا: جلد کی ہلکی رنگت, جسم, جلد کی ہلکی رنگت, نیچے, ہاتھ
👎🏼	انگوٹھا, اچھا نہ ہونے کا نشان بناتا انگوٹھا, اچھا نہ ہونے کا نشان بناتا انگوٹھا: جلد کی درمیانی -ہلکی رنگت, جسم, جلد کی درمیانی -ہلکی رنگت, نیچے, ہاتھ
👎🏽	انگوٹھا, اچھا نہ ہونے کا نشان بناتا انگوٹھا, اچھا نہ ہونے کا نشان بناتا انگوٹھا: جلد کی درمیانی رنگت, جسم, جلد کی درمیانی رنگت, نیچے, ہاتھ
👎🏾	انگوٹھا, اچھا نہ ہونے کا نشان بناتا انگوٹھا, اچھا نہ ہونے کا نشان بناتا انگوٹھا: جلد کی درمیانی سیاہ رنگت, جسم, جلد کی درمیانی سیاہ رنگت, نیچے, ہاتھ
👎🏿	انگوٹھا, اچھا نہ ہونے کا نشان بناتا انگوٹھا, اچھا نہ ہونے کا نشان بناتا انگوٹھا: جلد کی سیاہ رنگت, جسم, جلد کی سیاہ رنگت, نیچے, ہاتھ
✊🏻	بلند مُٹھی, بلند مُٹھی: جلد کی ہلکی رنگت, جسم, جلد کی ہلکی رنگت, مٹھی, ہاتھ
✊🏼	بلند مُٹھی, بلند مُٹھی: جلد کی درمیانی -ہلکی رنگت, جسم, جلد کی درمیانی -ہلکی رنگت, مٹھی, ہاتھ
✊🏽	بلند مُٹھی, بلند مُٹھی: جلد کی درمیانی رنگت, جسم, جلد کی درمیانی رنگت, مٹھی, ہاتھ
✊🏾	بلند مُٹھی, بلند مُٹھی: جلد کی درمیانی سیاہ رنگت, جسم, جلد کی درمیانی سیاہ رنگت, مٹھی, ہاتھ
✊🏿	بلند مُٹھی, بلند مُٹھی: جلد کی سیاہ رنگت, جسم, جلد کی سیاہ رنگت, مٹھی, ہاتھ
👊🏻	آتا ہوا مُکا, آتا ہوا مُکا: جلد کی ہلکی رنگت, جسم, جلد کی ہلکی رنگت, مکا, ہاتھ
👊🏼	آتا ہوا مُکا, آتا ہوا مُکا: جلد کی درمیانی -ہلکی رنگت, جسم, جلد کی درمیانی -ہلکی رنگت, مکا, ہاتھ
👊🏽	آتا ہوا مُکا, آتا ہوا مُکا: جلد کی درمیانی رنگت, جسم, جلد کی درمیانی رنگت, مکا, ہاتھ
👊🏾	آتا ہوا مُکا, آتا ہوا مُکا: جلد کی درمیانی سیاہ رنگت, جسم, جلد کی درمیانی سیاہ رنگت, مکا, ہاتھ
👊🏿	آتا ہوا مُکا, آتا ہوا مُکا: جلد کی سیاہ رنگت, جسم, جلد کی سیاہ رنگت, مکا, ہاتھ
🤛🏻	بائیں سمت, بائیں سمت میں مکا, بائیں سمت میں مکا: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, مکا
🤛🏼	بائیں سمت, بائیں سمت میں مکا, بائیں سمت میں مکا: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, مکا
🤛🏽	بائیں سمت, بائیں سمت میں مکا, بائیں سمت میں مکا: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, مکا
🤛🏾	بائیں سمت, بائیں سمت میں مکا, بائیں سمت میں مکا: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, مکا
🤛🏿	بائیں سمت, بائیں سمت میں مکا, بائیں سمت میں مکا: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, مکا
🤜🏻	جلد کی ہلکی رنگت, دائیں سمت, دائیں سمت میں مکا, دائیں سمت میں مکا: جلد کی ہلکی رنگت, مکا
🤜🏼	جلد کی درمیانی -ہلکی رنگت, دائیں سمت, دائیں سمت میں مکا, دائیں سمت میں مکا: جلد کی درمیانی -ہلکی رنگت, مکا
🤜🏽	جلد کی درمیانی رنگت, دائیں سمت, دائیں سمت میں مکا, دائیں سمت میں مکا: جلد کی درمیانی رنگت, مکا
🤜🏾	جلد کی درمیانی سیاہ رنگت, دائیں سمت, دائیں سمت میں مکا, دائیں سمت میں مکا: جلد کی درمیانی سیاہ رنگت, مکا
🤜🏿	جلد کی سیاہ رنگت, دائیں سمت, دائیں سمت میں مکا, دائیں سمت میں مکا: جلد کی سیاہ رنگت, مکا
🤚🏻	جلد کی ہلکی رنگت, پشت, کھڑا, کھڑے ہاتھ کی پشت, کھڑے ہاتھ کی پشت: جلد کی ہلکی رنگت, ہاتھ
🤚🏼	جلد کی درمیانی -ہلکی رنگت, پشت, کھڑا, کھڑے ہاتھ کی پشت, کھڑے ہاتھ کی پشت: جلد کی درمیانی -ہلکی رنگت, ہاتھ
🤚🏽	جلد کی درمیانی رنگت, پشت, کھڑا, کھڑے ہاتھ کی پشت, کھڑے ہاتھ کی پشت: جلد کی درمیانی رنگت, ہاتھ
🤚🏾	جلد کی درمیانی سیاہ رنگت, پشت, کھڑا, کھڑے ہاتھ کی پشت, کھڑے ہاتھ کی پشت: جلد کی درمیانی سیاہ رنگت, ہاتھ
🤚🏿	جلد کی سیاہ رنگت, پشت, کھڑا, کھڑے ہاتھ کی پشت, کھڑے ہاتھ کی پشت: جلد کی سیاہ رنگت, ہاتھ
👋🏻	جسم, جلد کی ہلکی رنگت, لہرانا, ہاتھ, ہاتھ لہرانا: جلد کی ہلکی رنگت
👋🏼	جسم, جلد کی درمیانی -ہلکی رنگت, لہرانا, ہاتھ, ہاتھ لہرانا: جلد کی درمیانی -ہلکی رنگت
👋🏽	جسم, جلد کی درمیانی رنگت, لہرانا, ہاتھ, ہاتھ لہرانا: جلد کی درمیانی رنگت
👋🏾	جسم, جلد کی درمیانی سیاہ رنگت, لہرانا, ہاتھ, ہاتھ لہرانا: جلد کی درمیانی سیاہ رنگت
👋🏿	جسم, جلد کی سیاہ رنگت, لہرانا, ہاتھ, ہاتھ لہرانا: جلد کی سیاہ رنگت
🤟🏻	آپ سے محبت, آپ سے محبت کا اشارہ, آپ سے محبت کا اشارہ: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, ہاتھ
🤟🏼	آپ سے محبت, آپ سے محبت کا اشارہ, آپ سے محبت کا اشارہ: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, ہاتھ
🤟🏽	آپ سے محبت, آپ سے محبت کا اشارہ, آپ سے محبت کا اشارہ: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, ہاتھ
