‾	tapae
🤹🏻‍♀	kiri āhua māmā, mahitakimaha, wahine, wahine whiuwhiu: kiri āhua māmā, whiuwhiu
🤹🏼‍♀	kiri āhua māmā-waenga, mahitakimaha, wahine, wahine whiuwhiu: kiri āhua māmā-waenga, whiuwhiu
🤹🏽‍♀	kiri āhua waenga, mahitakimaha, wahine, wahine whiuwhiu: kiri āhua waenga, whiuwhiu
🤹🏾‍♀	kiri āhua waenga-parauri, mahitakimaha, wahine, wahine whiuwhiu: kiri āhua waenga-parauri, whiuwhiu
🤹🏿‍♀	kiri āhua parauri, mahitakimaha, wahine, wahine whiuwhiu: kiri āhua parauri, whiuwhiu
🧘	tangata tūranga rotu, whakaaro, yoga
🧘🏻	kiri āhua māmā, tangata tūranga rotu, tangata tūranga rotu: kiri āhua māmā, whakaaro, yoga
🧘🏼	kiri āhua māmā-waenga, tangata tūranga rotu, tangata tūranga rotu: kiri āhua māmā-waenga, whakaaro, yoga
🧘🏽	kiri āhua waenga, tangata tūranga rotu, tangata tūranga rotu: kiri āhua waenga, whakaaro, yoga
🧘🏾	kiri āhua waenga-parauri, tangata tūranga rotu, tangata tūranga rotu: kiri āhua waenga-parauri, whakaaro, yoga
🧘🏿	kiri āhua parauri, tangata tūranga rotu, tangata tūranga rotu: kiri āhua parauri, whakaaro, yoga
🧘‍♂	tāne tūranga rotu, whakaaro, yoga
🧘🏻‍♂	kiri āhua māmā, tāne tūranga rotu, tāne tūranga rotu: kiri āhua māmā, whakaaro, yoga
🧘🏼‍♂	kiri āhua māmā-waenga, tāne tūranga rotu, tāne tūranga rotu: kiri āhua māmā-waenga, whakaaro, yoga
🧘🏽‍♂	kiri āhua waenga, tāne tūranga rotu, tāne tūranga rotu: kiri āhua waenga, whakaaro, yoga
🧘🏾‍♂	kiri āhua waenga-parauri, tāne tūranga rotu, tāne tūranga rotu: kiri āhua waenga-parauri, whakaaro, yoga
🧘🏿‍♂	kiri āhua parauri, tāne tūranga rotu, tāne tūranga rotu: kiri āhua parauri, whakaaro, yoga
🧘‍♀	wahine tūranga rotu, whakaaro, yoga
🧘🏻‍♀	kiri āhua māmā, wahine tūranga rotu, wahine tūranga rotu: kiri āhua māmā, whakaaro, yoga
🧘🏼‍♀	kiri āhua māmā-waenga, wahine tūranga rotu, wahine tūranga rotu: kiri āhua māmā-waenga, whakaaro, yoga
🧘🏽‍♀	kiri āhua waenga, wahine tūranga rotu, wahine tūranga rotu: kiri āhua waenga, whakaaro, yoga
🧘🏾‍♀	kiri āhua waenga-parauri, wahine tūranga rotu, wahine tūranga rotu: kiri āhua waenga-parauri, whakaaro, yoga
🧘🏿‍♀	kiri āhua parauri, wahine tūranga rotu, wahine tūranga rotu: kiri āhua parauri, whakaaro, yoga
🛀	kaukau, tangata kaukau ana, tāpu kaukau
🛀🏻	kaukau, kiri āhua māmā, tangata kaukau ana, tangata kaukau ana: kiri āhua māmā, tāpu kaukau
🛀🏼	kaukau, kiri āhua māmā-waenga, tangata kaukau ana, tangata kaukau ana: kiri āhua māmā-waenga, tāpu kaukau
🛀🏽	kaukau, kiri āhua waenga, tangata kaukau ana, tangata kaukau ana: kiri āhua waenga, tāpu kaukau
🛀🏾	kaukau, kiri āhua waenga-parauri, tangata kaukau ana, tangata kaukau ana: kiri āhua waenga-parauri, tāpu kaukau
🛀🏿	kaukau, kiri āhua parauri, tangata kaukau ana, tangata kaukau ana: kiri āhua parauri, tāpu kaukau
🛌	hōtēra, moe, tangata rō moenga
🛌🏻	hōtēra, kiri āhua māmā, moe, tangata rō moenga, tangata rō moenga: kiri āhua māmā
🛌🏼	hōtēra, kiri āhua māmā-waenga, moe, tangata rō moenga, tangata rō moenga: kiri āhua māmā-waenga
🛌🏽	hōtēra, kiri āhua waenga, moe, tangata rō moenga, tangata rō moenga: kiri āhua waenga
🛌🏾	hōtēra, kiri āhua waenga-parauri, moe, tangata rō moenga, tangata rō moenga: kiri āhua waenga-parauri
🛌🏿	hōtēra, kiri āhua parauri, moe, tangata rō moenga, tangata rō moenga: kiri āhua parauri
👭	pupuri, ringa, tokorua, tokorua wāhine mau ringa, wahine
👭🏻	kiri āhua māmā, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua māmā, wahine
👩🏻‍🤝‍👩🏼	kiri āhua māmā, kiri āhua māmā-waenga, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua māmā, kiri āhua māmā-waenga, wahine
👩🏻‍🤝‍👩🏽	kiri āhua māmā, kiri āhua waenga, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua māmā, kiri āhua waenga, wahine
👩🏻‍🤝‍👩🏾	kiri āhua māmā, kiri āhua waenga-parauri, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua māmā, kiri āhua waenga-parauri, wahine
👩🏻‍🤝‍👩🏿	kiri āhua māmā, kiri āhua parauri, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua māmā, kiri āhua parauri, wahine
👩🏼‍🤝‍👩🏻	kiri āhua māmā, kiri āhua māmā-waenga, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua māmā-waenga, kiri āhua māmā, wahine
👭🏼	kiri āhua māmā-waenga, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua māmā-waenga, wahine
👩🏼‍🤝‍👩🏽	kiri āhua māmā-waenga, kiri āhua waenga, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua māmā-waenga, kiri āhua waenga, wahine
👩🏼‍🤝‍👩🏾	kiri āhua māmā-waenga, kiri āhua waenga-parauri, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua māmā-waenga, kiri āhua waenga-parauri, wahine
👩🏼‍🤝‍👩🏿	kiri āhua māmā-waenga, kiri āhua parauri, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua māmā-waenga, kiri āhua parauri, wahine
👩🏽‍🤝‍👩🏻	kiri āhua māmā, kiri āhua waenga, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua waenga, kiri āhua māmā, wahine
👩🏽‍🤝‍👩🏼	kiri āhua māmā-waenga, kiri āhua waenga, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua waenga, kiri āhua māmā-waenga, wahine
👭🏽	kiri āhua waenga, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua waenga, wahine
👩🏽‍🤝‍👩🏾	kiri āhua waenga, kiri āhua waenga-parauri, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua waenga, kiri āhua waenga-parauri, wahine
👩🏽‍🤝‍👩🏿	kiri āhua parauri, kiri āhua waenga, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua waenga, kiri āhua parauri, wahine
👩🏾‍🤝‍👩🏻	kiri āhua māmā, kiri āhua waenga-parauri, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua waenga-parauri, kiri āhua māmā, wahine
👩🏾‍🤝‍👩🏼	kiri āhua māmā-waenga, kiri āhua waenga-parauri, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua waenga-parauri, kiri āhua māmā-waenga, wahine
👩🏾‍🤝‍👩🏽	kiri āhua waenga, kiri āhua waenga-parauri, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua waenga-parauri, kiri āhua waenga, wahine
👭🏾	kiri āhua waenga-parauri, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua waenga-parauri, wahine
👩🏾‍🤝‍👩🏿	kiri āhua parauri, kiri āhua waenga-parauri, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua waenga-parauri, kiri āhua parauri, wahine
👩🏿‍🤝‍👩🏻	kiri āhua māmā, kiri āhua parauri, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua parauri, kiri āhua māmā, wahine
👩🏿‍🤝‍👩🏼	kiri āhua māmā-waenga, kiri āhua parauri, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua parauri, kiri āhua māmā-waenga, wahine
👩🏿‍🤝‍👩🏽	kiri āhua parauri, kiri āhua waenga, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua parauri, kiri āhua waenga, wahine
👩🏿‍🤝‍👩🏾	kiri āhua parauri, kiri āhua waenga-parauri, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua parauri, kiri āhua waenga-parauri, wahine
👭🏿	kiri āhua parauri, pupuri, ringa, tokorua, tokorua wāhine mau ringa, tokorua wāhine mau ringa: kiri āhua parauri, wahine
👫	pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, wahine
👫🏻	kiri āhua māmā, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua māmā, wahine
👩🏻‍🤝‍👨🏼	kiri āhua māmā, kiri āhua māmā-waenga, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua māmā, kiri āhua māmā-waenga, wahine
👩🏻‍🤝‍👨🏽	kiri āhua māmā, kiri āhua waenga, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua māmā, kiri āhua waenga, wahine
👩🏻‍🤝‍👨🏾	kiri āhua māmā, kiri āhua waenga-parauri, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua māmā, kiri āhua waenga-parauri, wahine
👩🏻‍🤝‍👨🏿	kiri āhua māmā, kiri āhua parauri, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua māmā, kiri āhua parauri, wahine
👩🏼‍🤝‍👨🏻	kiri āhua māmā, kiri āhua māmā-waenga, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua māmā-waenga, kiri āhua māmā, wahine
👫🏼	kiri āhua māmā-waenga, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua māmā-waenga, wahine
👩🏼‍🤝‍👨🏽	kiri āhua māmā-waenga, kiri āhua waenga, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua māmā-waenga, kiri āhua waenga, wahine
👩🏼‍🤝‍👨🏾	kiri āhua māmā-waenga, kiri āhua waenga-parauri, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua māmā-waenga, kiri āhua waenga-parauri, wahine
👩🏼‍🤝‍👨🏿	kiri āhua māmā-waenga, kiri āhua parauri, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua māmā-waenga, kiri āhua parauri, wahine
👩🏽‍🤝‍👨🏻	kiri āhua māmā, kiri āhua waenga, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua waenga, kiri āhua māmā, wahine
👩🏽‍🤝‍👨🏼	kiri āhua māmā-waenga, kiri āhua waenga, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua waenga, kiri āhua māmā-waenga, wahine
👫🏽	kiri āhua waenga, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua waenga, wahine
👩🏽‍🤝‍👨🏾	kiri āhua waenga, kiri āhua waenga-parauri, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua waenga, kiri āhua waenga-parauri, wahine
👩🏽‍🤝‍👨🏿	kiri āhua parauri, kiri āhua waenga, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua waenga, kiri āhua parauri, wahine
👩🏾‍🤝‍👨🏻	kiri āhua māmā, kiri āhua waenga-parauri, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua waenga-parauri, kiri āhua māmā, wahine
👩🏾‍🤝‍👨🏼	kiri āhua māmā-waenga, kiri āhua waenga-parauri, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua waenga-parauri, kiri āhua māmā-waenga, wahine
👩🏾‍🤝‍👨🏽	kiri āhua waenga, kiri āhua waenga-parauri, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua waenga-parauri, kiri āhua waenga, wahine
👫🏾	kiri āhua waenga-parauri, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua waenga-parauri, wahine
👩🏾‍🤝‍👨🏿	kiri āhua parauri, kiri āhua waenga-parauri, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua waenga-parauri, kiri āhua parauri, wahine
👩🏿‍🤝‍👨🏻	kiri āhua māmā, kiri āhua parauri, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua parauri, kiri āhua māmā, wahine
👩🏿‍🤝‍👨🏼	kiri āhua māmā-waenga, kiri āhua parauri, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua parauri, kiri āhua māmā-waenga, wahine
👩🏿‍🤝‍👨🏽	kiri āhua parauri, kiri āhua waenga, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua parauri, kiri āhua waenga, wahine
👩🏿‍🤝‍👨🏾	kiri āhua parauri, kiri āhua waenga-parauri, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua parauri, kiri āhua waenga-parauri, wahine
👫🏿	kiri āhua parauri, pupuri, ringa, tokorua, tāne, tāne me te wahine mau ringa, tāne me te wahine mau ringa: kiri āhua parauri, wahine
👬	Gemini, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tāne
👬🏻	Gemini, kiri āhua māmā, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua māmā, tāne
👨🏻‍🤝‍👨🏼	Gemini, kiri āhua māmā, kiri āhua māmā-waenga, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua māmā, kiri āhua māmā-waenga, tāne
👨🏻‍🤝‍👨🏽	Gemini, kiri āhua māmā, kiri āhua waenga, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua māmā, kiri āhua waenga, tāne
👨🏻‍🤝‍👨🏾	Gemini, kiri āhua māmā, kiri āhua waenga-parauri, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua māmā, kiri āhua waenga-parauri, tāne
👨🏻‍🤝‍👨🏿	Gemini, kiri āhua māmā, kiri āhua parauri, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua māmā, kiri āhua parauri, tāne
👨🏼‍🤝‍👨🏻	Gemini, kiri āhua māmā, kiri āhua māmā-waenga, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua māmā-waenga, kiri āhua māmā, tāne
👬🏼	Gemini, kiri āhua māmā-waenga, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua māmā-waenga, tāne
👨🏼‍🤝‍👨🏽	Gemini, kiri āhua māmā-waenga, kiri āhua waenga, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua māmā-waenga, kiri āhua waenga, tāne
👨🏼‍🤝‍👨🏾	Gemini, kiri āhua māmā-waenga, kiri āhua waenga-parauri, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua māmā-waenga, kiri āhua waenga-parauri, tāne
👨🏼‍🤝‍👨🏿	Gemini, kiri āhua māmā-waenga, kiri āhua parauri, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua māmā-waenga, kiri āhua parauri, tāne
👨🏽‍🤝‍👨🏻	Gemini, kiri āhua māmā, kiri āhua waenga, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua waenga, kiri āhua māmā, tāne
👨🏽‍🤝‍👨🏼	Gemini, kiri āhua māmā-waenga, kiri āhua waenga, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua waenga, kiri āhua māmā-waenga, tāne
👬🏽	Gemini, kiri āhua waenga, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua waenga, tāne
👨🏽‍🤝‍👨🏾	Gemini, kiri āhua waenga, kiri āhua waenga-parauri, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua waenga, kiri āhua waenga-parauri, tāne
👨🏽‍🤝‍👨🏿	Gemini, kiri āhua parauri, kiri āhua waenga, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua waenga, kiri āhua parauri, tāne
👨🏾‍🤝‍👨🏻	Gemini, kiri āhua māmā, kiri āhua waenga-parauri, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua waenga-parauri, kiri āhua māmā, tāne
👨🏾‍🤝‍👨🏼	Gemini, kiri āhua māmā-waenga, kiri āhua waenga-parauri, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua waenga-parauri, kiri āhua māmā-waenga, tāne
👨🏾‍🤝‍👨🏽	Gemini, kiri āhua waenga, kiri āhua waenga-parauri, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua waenga-parauri, kiri āhua waenga, tāne
👬🏾	Gemini, kiri āhua waenga-parauri, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua waenga-parauri, tāne
👨🏾‍🤝‍👨🏿	Gemini, kiri āhua parauri, kiri āhua waenga-parauri, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua waenga-parauri, kiri āhua parauri, tāne
👨🏿‍🤝‍👨🏻	Gemini, kiri āhua māmā, kiri āhua parauri, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua parauri, kiri āhua māmā, tāne
👨🏿‍🤝‍👨🏼	Gemini, kiri āhua māmā-waenga, kiri āhua parauri, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua parauri, kiri āhua māmā-waenga, tāne
👨🏿‍🤝‍👨🏽	Gemini, kiri āhua parauri, kiri āhua waenga, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua parauri, kiri āhua waenga, tāne
👨🏿‍🤝‍👨🏾	Gemini, kiri āhua parauri, kiri āhua waenga-parauri, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua parauri, kiri āhua waenga-parauri, tāne
👬🏿	Gemini, kiri āhua parauri, māhanga, poutiriao, pupuri, ringa, tokorua, tokorua tāne mau ringa, tokorua tāne mau ringa: kiri āhua parauri, tāne
💏	kihi, tokorua
💏🏻	kihi, kihi: kiri āhua māmā, kiri āhua māmā, tokorua
💏🏼	kihi, kihi: kiri āhua māmā-waenga, kiri āhua māmā-waenga, tokorua
💏🏽	kihi, kihi: kiri āhua waenga, kiri āhua waenga, tokorua
💏🏾	kihi, kihi: kiri āhua waenga-parauri, kiri āhua waenga-parauri, tokorua
💏🏿	kihi, kihi: kiri āhua parauri, kiri āhua parauri, tokorua
👩‍❤‍💋‍👨	kihi, kihi: wahine, tāne, tokorua, tāne, wahine
👨‍❤‍💋‍👨	kihi, kihi: tāne, tāne, tokorua, tāne
👩‍❤‍💋‍👩	kihi, kihi: wahine, wahine, tokorua, wahine
💑	aroha, tokorua, tokorua me te manawa
💑🏻	aroha, kiri āhua māmā, tokorua, tokorua me te manawa, tokorua me te manawa: kiri āhua māmā
💑🏼	aroha, kiri āhua māmā-waenga, tokorua, tokorua me te manawa, tokorua me te manawa: kiri āhua māmā-waenga
💑🏽	aroha, kiri āhua waenga, tokorua, tokorua me te manawa, tokorua me te manawa: kiri āhua waenga
💑🏾	aroha, kiri āhua waenga-parauri, tokorua, tokorua me te manawa, tokorua me te manawa: kiri āhua waenga-parauri
💑🏿	aroha, kiri āhua parauri, tokorua, tokorua me te manawa, tokorua me te manawa: kiri āhua parauri
👩‍❤‍👨	aroha, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, tāne, tāne, wahine
👨‍❤‍👨	aroha, tokorua, tokorua me te manawa, tokorua me te manawa: tāne, tāne, tāne
👩‍❤‍👩	aroha, tokorua, tokorua me te manawa, tokorua me te manawa: wahine, wahine, wahine
👪️	whānau
👨‍👩‍👦	tamatāne, tāne, wahine, whānau, whānau: tāne, wahine, tamatāne
👨‍👩‍👧	kōtiro, tāne, wahine, whānau, whānau: tāne, wahine, kōtiro
👨‍👩‍👧‍👦	kōtiro, tamatāne, tāne, wahine, whānau, whānau: tāne, wahine, kōtiro, tamatāne
👨‍👩‍👦‍👦	tamatāne, tāne, wahine, whānau, whānau: tāne, wahine, tamatāne, tamatāne
👨‍👩‍👧‍👧	kōtiro, tāne, wahine, whānau, whānau: tāne, wahine, kōtiro, kōtiro
👨‍👨‍👦	tamatāne, tāne, whānau, whānau: tāne, tāne, tamatāne
👨‍👨‍👧	kōtiro, tāne, whānau, whānau: tāne, tāne, kōtiro
👨‍👨‍👧‍👦	kōtiro, tamatāne, tāne, whānau, whānau: tāne, tāne, kōtiro, tamatāne
👨‍👨‍👦‍👦	tamatāne, tāne, whānau, whānau: tāne, tāne, tamatāne, tamatāne
👨‍👨‍👧‍👧	kōtiro, tāne, whānau, whānau: tāne, tāne, kōtiro, kōtiro
👩‍👩‍👦	tamatāne, wahine, whānau, whānau: wahine, wahine, tamatāne
👩‍👩‍👧	kōtiro, wahine, whānau, whānau: wahine, wahine, kōtiro
👩‍👩‍👧‍👦	kōtiro, tamatāne, wahine, whānau, whānau: wahine, wahine, kōtiro, tamatāne
👩‍👩‍👦‍👦	tamatāne, wahine, whānau, whānau: wahine, wahine, tamatāne, tamatāne
👩‍👩‍👧‍👧	kōtiro, wahine, whānau, whānau: wahine, wahine, kōtiro, kōtiro
👨‍👦	tamatāne, tāne, whānau, whānau: tāne, tamatāne
👨‍👦‍👦	tamatāne, tāne, whānau, whānau: tāne, tamatāne, tamatāne
👨‍👧	kōtiro, tāne, whānau, whānau: tāne, kōtiro
👨‍👧‍👦	kōtiro, tamatāne, tāne, whānau, whānau: tāne, kōtiro, tamatāne
👨‍👧‍👧	kōtiro, tāne, whānau, whānau: tāne, kōtiro, kōtiro
👩‍👦	tamatāne, wahine, whānau, whānau: wahine, tamatāne
👩‍👦‍👦	tamatāne, wahine, whānau, whānau: wahine, tamatāne, tamatāne
👩‍👧	kōtiro, wahine, whānau, whānau: wahine, kōtiro
👩‍👧‍👦	kōtiro, tamatāne, wahine, whānau, whānau: wahine, kōtiro, tamatāne
👩‍👧‍👧	kōtiro, wahine, whānau, whānau: wahine, kōtiro, kōtiro
🗣️	ataata, kanohi, kōrero, kōrero ana, upoko, upoko kōrero
👤	ataata, poho, poho rō ataata
👥	ataata, ngā poho rō ataata, poho
👣	kākahu, ngā tapuwae, tapuwae, tā
🐵	kanohi, kanohi makimaki, makimaki
🐒	makimaki
🦍	makimaki nui
🐶	kanohi, kanohi kurī, kurī, mōkai
🐕️	kurī, mōkai
🐩	kurī, kurī poipoi
🐺	kanohi, kanohi wūruhi, wūruhi
🦊	kanohi, kanohi pōkiha, pōkiha
🐱	kanohi, kanohi ngeru, mōkai, ngeru
🐈️	mōkai, ngeru
🦁	Leo, kanohi, kanohi raiona, poutiriao, raiona
🐯	kanohi, kanohi taika, taika
🐅	taika
🐆	reparo
🐴	hoiho, kanohi, kanohi hōiho
🐎	hoiho tauomaoma, hoihotanga, hōiho, tauomaoma
🦄	hoiho pihi, kanohi, kanohi hōiho pihi
🦓	hepapa, tāheke
🦌	tia
🐮	kanohi, kanohi kau, kau
🐂	Taurus, poutiriao, pūru, ōkiha
🐃	pūru, pūru wai, wai
🐄	kau
🐷	kanohi, kanohi poaka, poaka
🐖	poaka, poaka uha
🐗	poaka, poaka toa
🐽	ihu, ihu poaka, kanohi, poaka
🐏	Aries, hipi, hipi toa, poutiriao, toa
🐑	hipi, uha, uha hipi
🐐	Capricorn, koati, poutiriao
🐪	kāmera, taromitari, tuapuku
🐫	kāmera, kāmera rua-tuapuku, rua-tuapuku, tuapuku
🦒	kakīroa, ngā kōiraira
🐘	erewhana
🦏	rinorino
🐭	kanohi, kanohi kiore, kiore
🐁	kiore iti
🐀	kiore rahi
🐹	hamikiore, kanohi, kanohi hamikiore, mōkai
🐰	kanohi, kanohi rāpeti, mōkai, rāpeti
🐇	mōkai, rāpeti
🐿️	timahaki
🦔	pūtaratara, tuatete
🦇	pekapeka, pekapeka kaitoto
🐻	kanohi, kanohi pea, pea
🐨	koara, pea
🐼	kanohi, kanohi panara, panara
🐾	ngā tā tapuwae, tapuwae, tā tapuwae, waewae
🦃	korukoru, manu
🐔	heihei, manu
🐓	manu, tameheihei
🐣	manu, pī, pīpī, pīpī timotimo, timotimo ana
🐤	manu, pī, pīpī, pīpī manu
🐥	manu, pī, pīpī, pīpī manu anga mua
🐦️	manu
🐧	kororā, manu
🕊️	kupupa, manu, rere, rongomau
🦅	ekara, manu
🦆	manu, parera
🦉	manu, mōhio, ruru
🐸	kanohi, kanohi poraka, poraka
🐊	nguturoa
🐢	honu, terapine
🦎	mokomoko, ngārara
🐍	Ophiuchus, kaihāpai, nākahi, poutiriao
🐲	kanohi, kanohi tarakona, pakiwaitara, tarakona
🐉	pakiwaitara, tarakona
🦕	brachiosaurus, brontosaurus, diplodocus, sauropod
🦖	T-Rex, Tyrannosaurus Rex
🐳	kanohi, pupuhi, tohorā, tohorā pupuhi
🐋	tohorā
🐬	aihe, pakihau
🐟️	Pisces, ika, poutiriao
🐠	ika, ika pārūrū, pārūrū
🐡	ika, ikapupuhi
🦈	ika, mangō
🐙	wheke
🐚	anga, anga tōrino, tōrino
🐌	hātaretare
🦋	pēpeke, pūrerehua, ātaahua
🐛	pēpeke, tātaka
🐜	pēpeke, pōpokorua
