‾	apɔju
👩🏽‍🤝‍👨🏿	adúláwɔ̀, amɔ́láwɔ̀ díɛ̀, dìmú, obìnrin, tɔkɔtaya, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu: amɔ́láwɔ̀ díɛ̀, adúláwɔ̀, ɔkùnrin, ɔwɔ́
👩🏾‍🤝‍👨🏻	adúláwɔ̀ díɛ̀, amɔ́lára, dìmú, obìnrin, tɔkɔtaya, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀ díɛ̀, amɔ́lára, ɔkùnrin, ɔwɔ́
👩🏾‍🤝‍👨🏼	adúláwɔ̀ díɛ̀, amɔ́lára díɛ̀, dìmú, obìnrin, tɔkɔtaya, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀ díɛ̀, amɔ́lára díɛ̀, ɔkùnrin, ɔwɔ́
👩🏾‍🤝‍👨🏽	adúláwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, dìmú, obìnrin, tɔkɔtaya, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, ɔkùnrin, ɔwɔ́
👫🏾	adúláwɔ̀ díɛ̀, dìmú, obìnrin, tɔkɔtaya, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀ díɛ̀, ɔkùnrin, ɔwɔ́
👩🏾‍🤝‍👨🏿	adúláwɔ̀, adúláwɔ̀ díɛ̀, dìmú, obìnrin, tɔkɔtaya, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀ díɛ̀, adúláwɔ̀, ɔkùnrin, ɔwɔ́
👩🏿‍🤝‍👨🏻	adúláwɔ̀, amɔ́lára, dìmú, obìnrin, tɔkɔtaya, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀, amɔ́lára, ɔkùnrin, ɔwɔ́
👩🏿‍🤝‍👨🏼	adúláwɔ̀, amɔ́lára díɛ̀, dìmú, obìnrin, tɔkɔtaya, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀, amɔ́lára díɛ̀, ɔkùnrin, ɔwɔ́
👩🏿‍🤝‍👨🏽	adúláwɔ̀, amɔ́láwɔ̀ díɛ̀, dìmú, obìnrin, tɔkɔtaya, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀, amɔ́láwɔ̀ díɛ̀, ɔkùnrin, ɔwɔ́
👩🏿‍🤝‍👨🏾	adúláwɔ̀, adúláwɔ̀ díɛ̀, dìmú, obìnrin, tɔkɔtaya, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀, adúláwɔ̀ díɛ̀, ɔkùnrin, ɔwɔ́
👫🏿	adúláwɔ̀, dìmú, obìnrin, tɔkɔtaya, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Ati Obirin Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀, ɔkùnrin, ɔwɔ́
👬	Gemini, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, ɔkùnrin, ɔwɔ́
👬🏻	Gemini, amɔ́lára, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: amɔ́lára, ɔkùnrin, ɔwɔ́
👨🏻‍🤝‍👨🏼	Gemini, amɔ́lára, amɔ́lára díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: amɔ́lára, amɔ́lára díɛ̀, ɔkùnrin, ɔwɔ́
👨🏻‍🤝‍👨🏽	Gemini, amɔ́lára, amɔ́láwɔ̀ díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: amɔ́lára, amɔ́láwɔ̀ díɛ̀, ɔkùnrin, ɔwɔ́
👨🏻‍🤝‍👨🏾	Gemini, adúláwɔ̀ díɛ̀, amɔ́lára, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: amɔ́lára, adúláwɔ̀ díɛ̀, ɔkùnrin, ɔwɔ́
👨🏻‍🤝‍👨🏿	Gemini, adúláwɔ̀, amɔ́lára, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: amɔ́lára, adúláwɔ̀, ɔkùnrin, ɔwɔ́
👨🏼‍🤝‍👨🏻	Gemini, amɔ́lára, amɔ́lára díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: amɔ́lára díɛ̀, amɔ́lára, ɔkùnrin, ɔwɔ́
👬🏼	Gemini, amɔ́lára díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: amɔ́lára díɛ̀, ɔkùnrin, ɔwɔ́
👨🏼‍🤝‍👨🏽	Gemini, amɔ́lára díɛ̀, amɔ́láwɔ̀ díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: amɔ́lára díɛ̀, amɔ́láwɔ̀ díɛ̀, ɔkùnrin, ɔwɔ́
👨🏼‍🤝‍👨🏾	Gemini, adúláwɔ̀ díɛ̀, amɔ́lára díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: amɔ́lára díɛ̀, adúláwɔ̀ díɛ̀, ɔkùnrin, ɔwɔ́
👨🏼‍🤝‍👨🏿	Gemini, adúláwɔ̀, amɔ́lára díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: amɔ́lára díɛ̀, adúláwɔ̀, ɔkùnrin, ɔwɔ́
👨🏽‍🤝‍👨🏻	Gemini, amɔ́lára, amɔ́láwɔ̀ díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: amɔ́láwɔ̀ díɛ̀, amɔ́lára, ɔkùnrin, ɔwɔ́
👨🏽‍🤝‍👨🏼	Gemini, amɔ́lára díɛ̀, amɔ́láwɔ̀ díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: amɔ́láwɔ̀ díɛ̀, amɔ́lára díɛ̀, ɔkùnrin, ɔwɔ́
👬🏽	Gemini, amɔ́láwɔ̀ díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: amɔ́láwɔ̀ díɛ̀, ɔkùnrin, ɔwɔ́
👨🏽‍🤝‍👨🏾	Gemini, adúláwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: amɔ́láwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, ɔkùnrin, ɔwɔ́
👨🏽‍🤝‍👨🏿	Gemini, adúláwɔ̀, amɔ́láwɔ̀ díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: amɔ́láwɔ̀ díɛ̀, adúláwɔ̀, ɔkùnrin, ɔwɔ́
👨🏾‍🤝‍👨🏻	Gemini, adúláwɔ̀ díɛ̀, amɔ́lára, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀ díɛ̀, amɔ́lára, ɔkùnrin, ɔwɔ́
👨🏾‍🤝‍👨🏼	Gemini, adúláwɔ̀ díɛ̀, amɔ́lára díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀ díɛ̀, amɔ́lára díɛ̀, ɔkùnrin, ɔwɔ́
👨🏾‍🤝‍👨🏽	Gemini, adúláwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, ɔkùnrin, ɔwɔ́
👬🏾	Gemini, adúláwɔ̀ díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀ díɛ̀, ɔkùnrin, ɔwɔ́
👨🏾‍🤝‍👨🏿	Gemini, adúláwɔ̀, adúláwɔ̀ díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀ díɛ̀, adúláwɔ̀, ɔkùnrin, ɔwɔ́
👨🏿‍🤝‍👨🏻	Gemini, adúláwɔ̀, amɔ́lára, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀, amɔ́lára, ɔkùnrin, ɔwɔ́
👨🏿‍🤝‍👨🏼	Gemini, adúláwɔ̀, amɔ́lára díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀, amɔ́lára díɛ̀, ɔkùnrin, ɔwɔ́
👨🏿‍🤝‍👨🏽	Gemini, adúláwɔ̀, amɔ́láwɔ̀ díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀, amɔ́láwɔ̀ díɛ̀, ɔkùnrin, ɔwɔ́
👨🏿‍🤝‍👨🏾	Gemini, adúláwɔ̀, adúláwɔ̀ díɛ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀, adúláwɔ̀ díɛ̀, ɔkùnrin, ɔwɔ́
👬🏿	Gemini, adúláwɔ̀, dìmú, tɔkɔtaya, àmi oshù ìbí, ìbejì, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu, Ɔkunrin Meji Ti O Dɔwɔ Ara Wɔn Mu: adúláwɔ̀, ɔkùnrin, ɔwɔ́
💏	Ifɛnuko, tɔkɔtaya
💏🏻	Ifɛnuko, Ifɛnuko: amɔ́lára, amɔ́lára, tɔkɔtaya
💏🏼	Ifɛnuko, Ifɛnuko: amɔ́lára díɛ̀, amɔ́lára díɛ̀, tɔkɔtaya
💏🏽	Ifɛnuko, Ifɛnuko: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, tɔkɔtaya
💏🏾	Ifɛnuko, Ifɛnuko: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, tɔkɔtaya
💏🏿	Ifɛnuko, Ifɛnuko: adúláwɔ̀, adúláwɔ̀, tɔkɔtaya
👩‍❤‍💋‍👨	Ifɛnuko, Ifɛnuko: Obìnrin, Ɔkùnrin, Obìnrin, tɔkɔtaya, Ɔkùnrin
👨‍❤‍💋‍👨	Ifɛnuko, Ifɛnuko: Ɔkùnrin, Ɔkùnrin, tɔkɔtaya, Ɔkùnrin
👩‍❤‍💋‍👩	Ifɛnuko, Ifɛnuko: Obìnrin, Obìnrin, Obìnrin, tɔkɔtaya
💑	Lɔkɔlaya Pɛlu ɔkan, tɔkɔtaya, ìfɛ́
💑🏻	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: amɔ́lára, amɔ́lára, tɔkɔtaya, ìfɛ́
💑🏼	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: amɔ́lára díɛ̀, amɔ́lára díɛ̀, tɔkɔtaya, ìfɛ́
💑🏽	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: amɔ́láwɔ̀ díɛ̀, amɔ́láwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́
💑🏾	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: adúláwɔ̀ díɛ̀, adúláwɔ̀ díɛ̀, tɔkɔtaya, ìfɛ́
💑🏿	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: adúláwɔ̀, adúláwɔ̀, tɔkɔtaya, ìfɛ́
👩‍❤‍👨	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Ɔkùnrin, Obìnrin, tɔkɔtaya, ìfɛ́, Ɔkùnrin
👨‍❤‍👨	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Ɔkùnrin, Ɔkùnrin, tɔkɔtaya, ìfɛ́, Ɔkùnrin
👩‍❤‍👩	Lɔkɔlaya Pɛlu ɔkan, Lɔkɔlaya Pɛlu ɔkan: Obìnrin, Obìnrin, Obìnrin, tɔkɔtaya, ìfɛ́
👪️	Ɛbí
👨‍👩‍👦	Obìnrin, Ɔkùnrin, Ɛbí, Ɛbí: Ɔkùnrin, Obìnrin, ɔmɔkùnrin, ɔmɔkùnrin
👨‍👩‍👧	Obìnrin, Ɔkùnrin, Ɛbí, Ɛbí: Ɔkùnrin, Obìnrin, ɔmɔbìrin, ɔmɔbìrin
👨‍👩‍👧‍👦	Obìnrin, Ɔkùnrin, Ɛbí, Ɛbí: Ɔkùnrin, Obìnrin, ɔmɔbìrin, ɔmɔkùnrin, ɔmɔbìrin, ɔmɔkùnrin
👨‍👩‍👦‍👦	Obìnrin, Ɔkùnrin, Ɛbí, Ɛbí: Ɔkùnrin, Obìnrin, ɔmɔkùnrin, ɔmɔkùnrin, ɔmɔkùnrin
👨‍👩‍👧‍👧	Obìnrin, Ɔkùnrin, Ɛbí, Ɛbí: Ɔkùnrin, Obìnrin, ɔmɔbìrin, ɔmɔbìrin, ɔmɔbìrin
👨‍👨‍👦	Ɔkùnrin, Ɛbí, Ɛbí: Ɔkùnrin, Ɔkùnrin, ɔmɔkùnrin, ɔmɔkùnrin
👨‍👨‍👧	Ɔkùnrin, Ɛbí, Ɛbí: Ɔkùnrin, Ɔkùnrin, ɔmɔbìrin, ɔmɔbìrin
👨‍👨‍👧‍👦	Ɔkùnrin, Ɛbí, Ɛbí: Ɔkùnrin, Ɔkùnrin, ɔmɔbìrin, ɔmɔkùnrin, ɔmɔbìrin, ɔmɔkùnrin
👨‍👨‍👦‍👦	Ɔkùnrin, Ɛbí, Ɛbí: Ɔkùnrin, Ɔkùnrin, ɔmɔkùnrin, ɔmɔkùnrin, ɔmɔkùnrin
👨‍👨‍👧‍👧	Ɔkùnrin, Ɛbí, Ɛbí: Ɔkùnrin, Ɔkùnrin, ɔmɔbìrin, ɔmɔbìrin, ɔmɔbìrin
👩‍👩‍👦	Obìnrin, Ɛbí, Ɛbí: Obìnrin, Obìnrin, ɔmɔkùnrin, ɔmɔkùnrin
👩‍👩‍👧	Obìnrin, Ɛbí, Ɛbí: Obìnrin, Obìnrin, ɔmɔbìrin, ɔmɔbìrin
👩‍👩‍👧‍👦	Obìnrin, Ɛbí, Ɛbí: Obìnrin, Obìnrin, ɔmɔbìrin, ɔmɔkùnrin, ɔmɔbìrin, ɔmɔkùnrin
👩‍👩‍👦‍👦	Obìnrin, Ɛbí, Ɛbí: Obìnrin, Obìnrin, ɔmɔkùnrin, ɔmɔkùnrin, ɔmɔkùnrin
👩‍👩‍👧‍👧	Obìnrin, Ɛbí, Ɛbí: Obìnrin, Obìnrin, ɔmɔbìrin, ɔmɔbìrin, ɔmɔbìrin
👨‍👦	Ɔkùnrin, Ɛbí, Ɛbí: Ɔkùnrin, ɔmɔkùnrin, ɔmɔkùnrin
👨‍👦‍👦	Ɔkùnrin, Ɛbí, Ɛbí: Ɔkùnrin, ɔmɔkùnrin, ɔmɔkùnrin, ɔmɔkùnrin
👨‍👧	Ɔkùnrin, Ɛbí, Ɛbí: Ɔkùnrin, ɔmɔbìrin, ɔmɔbìrin
👨‍👧‍👦	Ɔkùnrin, Ɛbí, Ɛbí: Ɔkùnrin, ɔmɔbìrin, ɔmɔkùnrin, ɔmɔbìrin, ɔmɔkùnrin
👨‍👧‍👧	Ɔkùnrin, Ɛbí, Ɛbí: Ɔkùnrin, ɔmɔbìrin, ɔmɔbìrin, ɔmɔbìrin
👩‍👦	Obìnrin, Ɛbí, Ɛbí: Obìnrin, ɔmɔkùnrin, ɔmɔkùnrin
👩‍👦‍👦	Obìnrin, Ɛbí, Ɛbí: Obìnrin, ɔmɔkùnrin, ɔmɔkùnrin, ɔmɔkùnrin
👩‍👧	Obìnrin, Ɛbí, Ɛbí: Obìnrin, ɔmɔbìrin, ɔmɔbìrin
👩‍👧‍👦	Obìnrin, Ɛbí, Ɛbí: Obìnrin, ɔmɔbìrin, ɔmɔkùnrin, ɔmɔbìrin, ɔmɔkùnrin
👩‍👧‍👧	Obìnrin, Ɛbí, Ɛbí: Obìnrin, ɔmɔbìrin, ɔmɔbìrin, ɔmɔbìrin
🗣️	bíríbírí, ojú, orí, orí tí ń sɔ̀rɔ̀, sɔ̀rɔ̀, ń sɔ̀rɔ̀
👥	Awɔn Ibujade Ni Biribiri, bíríbírí, bújáde
👣	Ipa ɛsɛ, ashɔ, ipasɛ̀, ìpasɛ̀
🐵	Oju Ɔbɔ, ojú, ɔ̀bɔ
🐒	Ɔ̀bɔ
🦊	Oju Kɔlɔkɔlɔ, kɔlɔkɔlɔ, ojú
🦁	Leo, Oju Kiniun, kìnìu, ojú, àmi oshù ìbí
🐯	Oju Ɛkùn, ojú, ɛkùn
🐅	Ɛkùn
🐆	Àmɔ̀tɛ́kùn
🐴	Oju Ɛshin, ojú, ɛshin
🐎	equestrian, eshi ìsáré, ìsáré, Ɛshin
🦄	Oju Ɛshin Oniwo, eshin oníwo, ojú
🦓	kɛ́tɛ́kɛ́tɛ́ abìla, onílà
🦌	Agbɔnrin
🐂	Taurus, àmi oshù ìbí, Ɛgbɔrɔ maalu, ɛgbɔrɔ màlálù
🐃	omi, Ɛfɔn Omi, ɛfɔ̀n
🐷	Oju Ɛlɛdɛ, ojú, ɛlɛ́dɛ̀
🐖	abo ɛlɛ́dɛ̀, Ɛlɛdɛ
🐗	Biari, Ɛlɛdɛ
🐽	Imu Ɛlɛdɛ, imú, ojú, ɛlɛ́dɛ̀
🐏	Agbo, Aries, akɔ, àgùntàn, àmi oshù ìbí
🐐	Ewúrɛ́, capricorn, àmi oshù ìbí
🐪	Kɛtɛkɛtɛ, iké, ràkúmí
🐫	Kɛtɛkɛtɛ Onike-Meji, iké, ràkúmí, ràkúmí oníké méjì
🦒	àgùfɔn, àwɔn àyè
🦏	Ɛranko Imado
🐭	ekú, ojú, Ɔju Eku
🦔	hedgehog, ɛlɛ́gùń
🦇	Adan, amùjɛ́, àdán
🐾	Apa Eekan, ipa, àtɛ́lɛ́ ɔwa, ɛsɛ̀
🦃	Tólòtólò, tòlótòló, ɛyɛ
🐔	Adìyɛ, adìye, ɛyɛ
🐓	Akukɔ, àkùkɔ, ɛyɛ
🐣	pípa, ìkókó, Ɔmɔ Adiyɛ Pipa, ɔmɔ adìyɛ, ɛyɛ
🐤	ìkókó, Ɔmɔ Adiyɛ, ɔmɔ adìyɛ, ɛyɛ
🐥	ìkókó, Ɔmɔ Adiyɛ ti now Iwaju, ɔmɔ adìyɛ, ɛyɛ
🐦️	Ɛyɛ
🐧	Ɛyɛ Oko, ɛyɛ, ɛyɛ oko
🕊️	fò, àdàbà, àláfíà, ɛyɛ
🦅	Àshá, àshá, ɛyɛ
🦆	Pɛ́pɛ́yɛ, pɛ́pɛ́yɛ, ɛyɛ
🦉	Owiwi, òwìwí, ɔlɔ́ngbɔ́n, ɛyɛ
🐸	Oju Ɔpɔlɔ, ojú, ɔpɔlɔ
🐊	Ɔni
🦎	Aláǹgba, aláǹgbà, ɛranko tí nfí àìyà fà
🐍	Ejò, Ophiuchus, ejò, olùgbé, àmi oshù ìbí
🐳	Oju, yɔ jade tì ipá, Ɛja Nla, Ɛja Nla Atutɔ
🐋	Ɛja Nla
🐬	Dɔfini, Ohun lúwë
🐟️	Pisces, àmi oshù ìbí, Ɛja
🐠	oorùn, Ɛja, Ɛja oorùn
🐡	Ɛja, Ɛja Awura
🦈	Sháàkì, sháàkì, ɛja
🐙	Ɛja ɛlɛsɛ mɛjɔ
🦋	Labalaba, arɛwà, kòkòrò, labalábá
🐛	kòkòrò, Ìyanjú Àshìshe
🐞	Yigbɛ-yigbɛ, kòkòrò, obounboùn, obounboùn kékeré
🦂	Scorpius, scorpio, Àkekè, àmi oshù ìbí
🌸	Iruwe Shɛri, Odòdó, shɛɛri, ìtànná
🏵️	Ohun Odòdó ɔshɔ, õgbìn
🥀	ododo witi, rɛ̀, òdòdó
🌺	Ododo Ibisikɔsi, Odòdó
🌱	Ihoro eso, wɛ́wɛ́
🌳	Igi Igbo, Igi to nta ewe lôdɔ dún, igi, ti
🌴	igi, Ɔpɛ, ɔpɛ
🌵	Igi Ɔrɔ́, õgbìn
🌾	Etí, Idi Ti Irɛsi, Irɛsi, ɔkà
🌿	Egbo Igi, Ewéɛ
☘️	shámrɔkì, õgbìn
🍀	4, Ahoro, Ahoro Elewe Merin, Ewé, mɛ́rin
🍁	Ewe Mapulu, Ewé, Jàbɔ, igi
🍂	Irawe, Jàbɔ, igi
🍃	Ewe Ti N Fanka Ninu Iji, Ewé, afɛfɛ, fo bákàn, fɛ
🍈	Èso, Ɛ̀gúsí
🍋	Orombo-wɛwɛ Chiffon, èso, ɔsàn
🍌	Èso, Ɔ̀gɛ̀dɛ̀
🍍	Èso, Ɔpɛ-oyinbo
🍏	Apu Alawɔ Ewe, apù, àwɔ̀ ewé, èso
🍒	Shɛɛri, aláwɔ̀ ewé, apù, èso
🍓	Eso dundun, bɛ́rì, èso
🥝	Eso Kiwi, kíwì, èso, ónjɛ
🍅	Timati, èso, ɛ̀fɔ́
🥥	pina colada, àgbɔn, ɔ̀pɛ
🥑	Afokado, afokádò, èso, ónjɛ
🥔	Ànàmɔ́, ànàmɔ́, ónjɛ, ɛ̀fɔ́
🥕	Kárɔ̀tì, kárɔ́tì, ónjɛ, ɛ̀fɔ́
🌽	Agbado, etí, àgbàdo, àgbàdo yínyín, ɔ̀nà ìrújú
🌶️	ata, ata gbígbónɔ̀, gbígbónɔ̀
🥒	Kùkúmbà, kùkúmbà, píkù, ónjɛ, ɛ̀fɔ́
🥦	ewé ɛlɛ́fɔ̀ɔ́, kabeji ìbílɛ̀
🥜	kóró inú èso, ónjɛ, Ɛpa, ɛ̀fɔ́, ɛ̀pà
🍞	Búrɛ́dì, búrɛ́dì gígé
🥐	Kurosanti, búrɛ́dì, faransé, kurosanti, kírísɛ́ntì, ónjɛ
🥖	Burɛdi Baguette, búrɛ́dì, búrɛ́dì gbɔɔrɔ, faransé, ónjɛ
🥨	lɔ́pɔ̀, pretzel
🥞	Atike Ikunju, búrɛ́dì pɛlɛbɛ, crepe, ónjɛ
🍖	eegun, Ɛran Ara Egungun, ɛran
🍗	adìye, eegun, ilé àdìyé, Ɛsɛ Adiyɛ, ɛsɛ̀
🥩	ijɛ àgùntàn, ijɛ ɛlɛ́dɛ̀, steak, ìgé ɛran, ìjɛun
🥓	ónjɛ, Ɛran Ɛlɛdɛ, ɛran, ɛran ɛlɛ́dɛ̀
🍔	Hamburger, bɔ́gà
🍟	Ounjɛ Ipanu Didun, didin, french
🌭	Hot Dog, àlɔ́pɔ̀ ɛran àti ɛran ɛlɛ́dɛ̀, àlɔ́pɔ̀ ɛrán, èran ɛlɛ́dɛ̀ papɔ̀ pɛ̀lú ɛran
🥪	Búrɛ́dì, búrɛ́dì alákànpɔ̀
🌮	Taco, ónjɛ mɛ́síkò
🌯	Burito, wépò, ónjɛ mɛ́síkò
🥙	Burɛdi Afunpɔ Pɛlɛbɛ, búrɛdì àfúnpɔ̀ pɛlɛbɛ, falafe, gyro, kebab, stuufe, ónjɛ
🥚	ónjɛ, Ɛyin, ɛyin
🍳	Dídáná, dídín, páànù, ɛyin
🥘	Paanu Ijɛun kekere, kásɛrɔ̀, pàɛ́là, páànù shálò, shálò, ónjɛ
🍲	Ikoko Ounjɛ, ìkòkò, ɔbɛ̀
🥣	abɔ́ pɛ̀lú shíbí, congee, àgbàdo, ónjɛ àrɔ̀
